Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,week,year,game_id
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,,,
Jimmy Garoppolo,SFO,18,30,253,2,0,2,9,32,109.4,5.0,2022,76
Jeff Wilson,SFO,0,0,0,0,0,0,0,0,,5.0,2022,76
Tevin Coleman,SFO,0,0,0,0,0,0,0,0,,5.0,2022,76
Deebo Samuel,SFO,0,0,0,0,0,0,0,0,,5.0,2022,76
Brandon Aiyuk,SFO,0,0,0,0,0,0,0,0,,5.0,2022,76
George Kittle,SFO,0,0,0,0,0,0,0,0,,5.0,2022,76
Jauan Jennings,SFO,0,0,0,0,0,0,0,0,,5.0,2022,76
Kyle Juszczyk,SFO,0,0,0,0,0,0,0,0,,5.0,2022,76
Danny Gray,SFO,0,0,0,0,0,0,0,0,,5.0,2022,76
Brock Purdy,SFO,0,0,0,0,0,0,0,0,,5.0,2022,76
Baker Mayfield,CAR,20,36,215,0,1,4,16,32,61.7,5.0,2022,76
P.J. Walker,CAR,5,6,60,0,0,2,15,22,108.3,5.0,2022,76
Christian McCaffrey,CAR,0,0,0,0,0,0,0,0,,5.0,2022,76
D.J. Moore,CAR,0,0,0,0,0,0,0,0,,5.0,2022,76
D'Onta Foreman,CAR,0,0,0,0,0,0,0,0,,5.0,2022,76
Shi Smith,CAR,0,0,0,0,0,0,0,0,,5.0,2022,76
Robbie Chosen,CAR,0,0,0,0,0,0,0,0,,5.0,2022,76
Terrace Marshall Jr.,CAR,0,0,0,0,0,0,0,0,,5.0,2022,76
Giovanni Ricci,CAR,0,0,0,0,0,0,0,0,,5.0,2022,76
Ian Thomas,CAR,0,0,0,0,0,0,0,0,,5.0,2022,76
Tommy Tremble,CAR,0,0,0,0,0,0,0,0,,5.0,2022,76
