Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST,home_team,team,week,year,game_id
Player,Pos,Num,Pct,Num,Pct,Num,Pct,,,,,
Dalton Risner,G,73,100%,0,0%,4,13%,1,Broncos,5.0,2022,65
Graham Glasgow,G,73,100%,0,0%,4,13%,1,Broncos,5.0,2022,65
Cameron Fleming,T,73,100%,0,0%,4,13%,1,Broncos,5.0,2022,65
Russell Wilson,QB,73,100%,0,0%,0,0%,1,Broncos,5.0,2022,65
Lloyd Cushenberry III,C,73,100%,0,0%,0,0%,1,Broncos,5.0,2022,65
Courtland Sutton,WR,68,93%,0,0%,0,0%,1,Broncos,5.0,2022,65
Jerry Jeudy,WR,61,84%,0,0%,0,0%,1,Broncos,5.0,2022,65
Garett Bolles,T,60,82%,0,0%,4,13%,1,Broncos,5.0,2022,65
Eric Saubert,TE,41,56%,0,0%,20,65%,1,Broncos,5.0,2022,65
Melvin Gordon,RB,41,56%,0,0%,0,0%,1,Broncos,5.0,2022,65
KJ Hamler,WR,39,53%,0,0%,0,0%,1,Broncos,5.0,2022,65
Eric Tomlinson,TE,35,48%,0,0%,0,0%,1,Broncos,5.0,2022,65
Mike Boone,RB,30,41%,0,0%,5,16%,1,Broncos,5.0,2022,65
Andrew Beck,TE,19,26%,0,0%,26,84%,1,Broncos,5.0,2022,65
Albert Okwuegbunam,TE,15,21%,0,0%,0,0%,1,Broncos,5.0,2022,65
Calvin Anderson,T,13,18%,0,0%,4,13%,1,Broncos,5.0,2022,65
Tyrie Cleveland,WR,10,14%,0,0%,13,42%,1,Broncos,5.0,2022,65
Montrell Washington,WR,4,5%,0,0%,17,55%,1,Broncos,5.0,2022,65
Devine Ozigbo,RB,2,3%,0,0%,14,45%,1,Broncos,5.0,2022,65
Caden Sterns,FS,0,0%,79,100%,1,3%,1,Broncos,5.0,2022,65
Patrick Surtain II,CB,0,0%,79,100%,1,3%,1,Broncos,5.0,2022,65
Kareem Jackson,SS,0,0%,79,100%,0,0%,1,Broncos,5.0,2022,65
K'Waun Williams,CB,0,0%,66,84%,1,3%,1,Broncos,5.0,2022,65
Dre'Mont Jones,DE,0,0%,58,73%,0,0%,1,Broncos,5.0,2022,65
Bradley Chubb,LB,0,0%,57,72%,5,16%,1,Broncos,5.0,2022,65
Damarri Mathis,CB,0,0%,47,59%,14,45%,1,Broncos,5.0,2022,65
Alex Singleton,LB,0,0%,43,54%,15,48%,1,Broncos,5.0,2022,65
Baron Browning,LB,0,0%,43,54%,2,6%,1,Broncos,5.0,2022,65
D.J. Jones,DT,0,0%,42,53%,4,13%,1,Broncos,5.0,2022,65
DeShawn Williams,DT,0,0%,38,48%,5,16%,1,Broncos,5.0,2022,65
Josey Jewell,LB,0,0%,34,43%,0,0%,1,Broncos,5.0,2022,65
Ronald Darby,CB,0,0%,32,41%,0,0%,1,Broncos,5.0,2022,65
Essang Bassey,CB,0,0%,31,39%,27,87%,1,Broncos,5.0,2022,65
Mike Purcell,NT,0,0%,30,38%,9,29%,1,Broncos,5.0,2022,65
Jonas Griffith,LB,0,0%,29,37%,17,55%,1,Broncos,5.0,2022,65
Nik Bonitto,LB,0,0%,29,37%,7,23%,1,Broncos,5.0,2022,65
Jonathan Kongbo,DE,0,0%,25,32%,21,68%,1,Broncos,5.0,2022,65
Matt Henningsen,DE,0,0%,16,20%,5,16%,1,Broncos,5.0,2022,65
Eyioma Uwazurike,DE,0,0%,12,15%,0,0%,1,Broncos,5.0,2022,65
Justin Strnad,LB,0,0%,0,0%,26,84%,1,Broncos,5.0,2022,65
Delarrin Turner-Yell,SS,0,0%,0,0%,22,71%,1,Broncos,5.0,2022,65
Anthony Harris,FS,0,0%,0,0%,17,55%,1,Broncos,5.0,2022,65
Brandon McManus,K,0,0%,0,0%,9,29%,1,Broncos,5.0,2022,65
Corliss Waitman,P,0,0%,0,0%,9,29%,1,Broncos,5.0,2022,65
Jacob Bobenmoyer,LS,0,0%,0,0%,9,29%,1,Broncos,5.0,2022,65
