Player,Pos,home_team,team,week,year,game_id
Lamar Jackson,QB,1,Ravens,5.0,2022,79
J.K. Dobbins,RB,1,Ravens,5.0,2022,79
Patrick Ricard,FB,1,Ravens,5.0,2022,79
Devin Duvernay,WR,1,Ravens,5.0,2022,79
Mark Andrews,TE,1,Ravens,5.0,2022,79
Josh Oliver,TE,1,Ravens,5.0,2022,79
Ronnie Stanley,T,1,Ravens,5.0,2022,79
Morgan Moses,T,1,Ravens,5.0,2022,79
Kevin Zeitler,G,1,Ravens,5.0,2022,79
Ben Powers,G,1,Ravens,5.0,2022,79
Tyler Linderbaum,C,1,Ravens,5.0,2022,79
Nnamdi Madubuike,DT,1,Ravens,5.0,2022,79
Calais Campbell,DT,1,Ravens,5.0,2022,79
Odafe Oweh,OLB,1,Ravens,5.0,2022,79
Jason Pierre-Paul,OLB,1,Ravens,5.0,2022,79
Patrick Queen,LB,1,Ravens,5.0,2022,79
Josh Bynes,LB,1,Ravens,5.0,2022,79
Marcus Peters,CB,1,Ravens,5.0,2022,79
Marlon Humphrey,CB,1,Ravens,5.0,2022,79
Brandon Stephens,DB,1,Ravens,5.0,2022,79
Chuck Clark,S,1,Ravens,5.0,2022,79
Marcus Williams,S,1,Ravens,5.0,2022,79
