Quarter,Time,Down,ToGo,Location,SFO,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"49ers won the coin toss, 49ers to receive the opening kickoff.",,,5.0,2022,76
1.0,15:00,,,CAR 35,0.0,0.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,76
1.0,15:00,1.0,10.0,SFO 25,0.0,0.0,Jimmy Garoppolo pass complete short right to George Kittle for 5 yards (tackle by Damien Wilson),0.61,0.74,5.0,2022,76
1.0,14:28,2.0,5.0,SFO 30,0.0,0.0,Jeff Wilson left tackle for -1 yards (tackle by Yetur Gross-Matos),0.74,-0.1,5.0,2022,76
1.0,13:45,3.0,6.0,SFO 29,0.0,0.0,Jimmy Garoppolo pass complete deep left to George Kittle for 20 yards (tackle by Juston Burris),-0.1,2.19,5.0,2022,76
1.0,13:05,1.0,10.0,SFO 49,0.0,0.0,Jeff Wilson up the middle for 1 yard (tackle by Derrick Brown),2.19,1.78,5.0,2022,76
1.0,12:28,2.0,9.0,CAR 50,0.0,0.0,Jeff Wilson up the middle for 41 yards (tackle by Myles Hartsfield),1.78,5.14,5.0,2022,76
1.0,11:53,1.0,9.0,CAR 9,0.0,0.0,Jimmy Garoppolo pass incomplete short middle intended for Deebo Samuel,5.14,4.38,5.0,2022,76
1.0,11:47,2.0,9.0,CAR 9,6.0,0.0,"Jimmy Garoppolo pass complete short right to Tevin Coleman for 9 yards, touchdown",4.38,7.0,5.0,2022,76
1.0,11:40,,,CAR 15,7.0,0.0,Robbie Gould kicks extra point good,0.0,0.0,5.0,2022,76
1.0,11:40,,,SFO 35,7.0,0.0,"Robbie Gould kicks off 68 yards, returned by Raheem Blackshear for 19 yards (tackle by Ross Dwelley and Demetrius Flannigan-Fowles)",0.0,-0.14,5.0,2022,76
1.0,11:37,1.0,10.0,CAR 16,7.0,0.0,Christian McCaffrey up the middle for 9 yards (tackle by Talanoa Hufanga and Samson Ebukam),-0.14,0.69,5.0,2022,76
1.0,11:04,2.0,1.0,CAR 25,7.0,0.0,Baker Mayfield pass incomplete short right intended for D.J. Moore (defended by Charvarius Ward),0.69,-0.2,5.0,2022,76
1.0,10:59,3.0,1.0,CAR 25,7.0,0.0,Christian McCaffrey right tackle for no gain (tackle by Charvarius Ward),-0.2,-1.7,5.0,2022,76
1.0,10:08,4.0,1.0,CAR 25,7.0,0.0,"Johnny Hekker punts 67 yards, returned by Ray-Ray McCloud for 7 yards (tackle by Brandon Smith and Sean Chandler)",-1.7,0.22,5.0,2022,76
1.0,9:54,1.0,10.0,SFO 15,7.0,0.0,Jimmy Garoppolo pass complete short right to Kyle Juszczyk for 9 yards (tackle by Damien Wilson),-0.22,0.62,5.0,2022,76
1.0,9:22,2.0,1.0,SFO 24,7.0,0.0,Jeff Wilson right guard for 1 yard (tackle by Cory Littleton and Henry Anderson),0.62,0.61,5.0,2022,76
1.0,8:46,1.0,10.0,SFO 25,7.0,0.0,Jimmy Garoppolo pass incomplete short middle intended for Deebo Samuel (defended by Juston Burris),0.61,0.06,5.0,2022,76
1.0,8:40,2.0,10.0,SFO 25,7.0,0.0,Tevin Coleman up the middle for 3 yards (tackle by Cory Littleton),0.06,-0.23,5.0,2022,76
1.0,8:05,3.0,7.0,SFO 28,7.0,0.0,Jimmy Garoppolo pass complete short right to George Kittle for 10 yards (tackle by Shaq Thompson),-0.23,1.47,5.0,2022,76
1.0,7:22,1.0,10.0,SFO 38,7.0,0.0,"Jimmy Garoppolo pass complete short right to George Kittle for 7 yards. George Kittle fumbles (forced by Damien Wilson), recovered by Yetur Gross-Matos at CAR-46 and returned for -2 yards. Yetur Gross-Matos fumbles, recovered by Yetur Gross-Matos at CAR-44 and returned for -2 yards (tackle by Damien Wilson)",1.47,-1.86,5.0,2022,76
1.0,7:09,1.0,10.0,CAR 44,7.0,0.0,D.J. Moore right end for 8 yards (tackle by Charvarius Ward),1.86,2.4,5.0,2022,76
1.0,6:38,2.0,2.0,SFO 48,7.0,0.0,D'Onta Foreman up the middle for 5 yards (tackle by Oren Burks),2.4,2.72,5.0,2022,76
1.0,5:58,1.0,10.0,SFO 43,7.0,0.0,Baker Mayfield pass complete short right to Ian Thomas for 2 yards (tackle by Dre Greenlaw),2.72,2.45,5.0,2022,76
1.0,5:21,2.0,8.0,SFO 41,7.0,0.0,Christian McCaffrey left tackle for 2 yards (tackle by Talanoa Hufanga and Dre Greenlaw),2.45,2.01,5.0,2022,76
1.0,4:44,3.0,6.0,SFO 39,7.0,0.0,Christian McCaffrey up the middle for 5 yards (tackle by Dre Greenlaw),2.01,1.1,5.0,2022,76
1.0,4:24,4.0,1.0,SFO 34,7.0,0.0,Christian McCaffrey up the middle for 3 yards (tackle by Fred Warner),1.1,3.51,5.0,2022,76
1.0,3:38,1.0,10.0,SFO 31,7.0,0.0,Baker Mayfield pass incomplete short right intended for Robbie Anderson (defended by Charvarius Ward),3.51,2.97,5.0,2022,76
1.0,3:33,2.0,10.0,SFO 31,7.0,0.0,D'Onta Foreman left tackle for -3 yards (tackle by Fred Warner),2.97,1.88,5.0,2022,76
1.0,2:54,3.0,13.0,SFO 34,7.0,0.0,Baker Mayfield pass complete short right to Christian McCaffrey for 11 yards (tackle by Fred Warner),1.88,2.05,5.0,2022,76
1.0,2:17,4.0,2.0,SFO 23,7.0,0.0,Eddy Pineiro 41 yard field goal no good,2.05,-1.0,5.0,2022,76
1.0,2:10,1.0,10.0,SFO 31,7.0,0.0,Jeff Wilson left guard for 5 yards (tackle by Cory Littleton),1.0,1.14,5.0,2022,76
1.0,1:31,2.0,5.0,SFO 36,7.0,0.0,Jeff Wilson left end for 1 yard (tackle by Brian Burns and Derrick Brown),1.14,0.56,5.0,2022,76
1.0,0:47,3.0,4.0,SFO 37,7.0,0.0,Jimmy Garoppolo pass complete deep left to Tevin Coleman for 30 yards (tackle by Myles Hartsfield),0.56,3.38,5.0,2022,76
1.0,0:16,1.0,10.0,CAR 33,7.0,0.0,Jimmy Garoppolo pass complete short right to Jeff Wilson for 12 yards (tackle by Cory Littleton),3.38,4.17,5.0,2022,76
2.0,15:00,1.0,10.0,CAR 21,7.0,0.0,Tevin Coleman left guard for 1 yard (tackle by Shaq Thompson),4.17,3.76,5.0,2022,76
2.0,14:19,2.0,9.0,CAR 20,7.0,0.0,"Jimmy Garoppolo pass complete short middle to George Kittle for no gain. Penalty on Mike McGlinchey: Ineligible Downfield Pass, 5 yards (accepted) (no play)",3.76,3.09,5.0,2022,76
2.0,13:50,2.0,14.0,CAR 25,7.0,0.0,Jimmy Garoppolo pass incomplete short left intended for George Kittle (defended by Derrick Brown),3.09,2.41,5.0,2022,76
2.0,13:41,3.0,14.0,CAR 25,7.0,0.0,Jimmy Garoppolo sacked by Brian Burns for -6 yards,2.41,1.32,5.0,2022,76
2.0,13:01,4.0,20.0,CAR 31,10.0,0.0,Robbie Gould 49 yard field goal good,1.32,3.0,5.0,2022,76
2.0,12:56,,,SFO 35,10.0,0.0,"Robbie Gould kicks off 65 yards, returned by Raheem Blackshear for 22 yards (tackle by Oren Burks)",0.0,0.41,5.0,2022,76
2.0,12:51,1.0,10.0,CAR 22,10.0,0.0,Baker Mayfield sacked by Talanoa Hufanga for -1 yards,0.41,-0.27,5.0,2022,76
2.0,12:09,2.0,11.0,CAR 21,10.0,0.0,Baker Mayfield pass complete to Robbie Anderson for 32 yards,-0.27,2.46,5.0,2022,76
2.0,11:39,1.0,10.0,SFO 47,10.0,0.0,Christian McCaffrey up the middle for 3 yards (tackle by Kevin Givens),2.46,2.32,5.0,2022,76
2.0,11:02,2.0,7.0,SFO 44,10.0,0.0,Baker Mayfield pass complete short left to D.J. Moore for 6 yards (tackle by Dre Greenlaw and Deommodore Lenoir),2.32,2.41,5.0,2022,76
2.0,10:39,3.0,1.0,SFO 38,10.0,0.0,"Christian McCaffrey up the middle for no gain (tackle by Kevin Givens and Kerry Hyder). Penalty on Ikem Ekwonu: Illegal Formation, 5 yards (accepted) (no play)",2.41,1.75,5.0,2022,76
2.0,10:19,3.0,6.0,SFO 43,10.0,0.0,Christian McCaffrey left guard for 7 yards (tackle by Dre Greenlaw and Akeem Spence),1.75,3.18,5.0,2022,76
2.0,9:40,1.0,10.0,SFO 36,10.0,0.0,"Baker Mayfield pass incomplete deep left intended for Christian McCaffrey (defended by Dre Greenlaw). Penalty on Emmanuel Moseley: Illegal Contact, 5 yards (accepted) (no play)",3.18,3.51,5.0,2022,76
2.0,9:27,1.0,10.0,SFO 31,10.0,0.0,"Baker Mayfield pass incomplete deep left intended for D.J. Moore. Penalty on Ikem Ekwonu: Offensive Holding, 10 yards (accepted) (no play)",3.51,2.85,5.0,2022,76
