Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Jared Goff,DET,3,7,0,5,5.0,2022,71
Jamaal Williams,DET,15,56,0,13,5.0,2022,71
Craig Reynolds,DET,6,24,0,19,5.0,2022,71
Justin Jackson,DET,3,14,0,11,5.0,2022,71
Josh Reynolds,DET,0,0,0,0,5.0,2022,71
Kalif Raymond,DET,0,0,0,0,5.0,2022,71
Amon-Ra St. Brown,DET,0,0,0,0,5.0,2022,71
T.J. Hockenson,DET,0,0,0,0,5.0,2022,71
Bailey Zappe,NWE,5,5,0,5,5.0,2022,71
Rhamondre Stevenson,NWE,25,161,0,49,5.0,2022,71
Damien Harris,NWE,4,11,0,9,5.0,2022,71
Jakobi Meyers,NWE,0,0,0,0,5.0,2022,71
Hunter Henry,NWE,0,0,0,0,5.0,2022,71
Tyquan Thornton,NWE,0,0,0,0,5.0,2022,71
Nelson Agholor,NWE,0,0,0,0,5.0,2022,71
Kendrick Bourne,NWE,1,-1,0,-1,5.0,2022,71
