Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,week,year,game_id
Kader Kohou,MIA,0,4,4,100.0%,26.0,6.5,6.5,0.0,93.7,1.3,5.0,21.0,1,0,0,0.0,0,4,2,33.3%,5.0,2022,73
Brandon Jones,MIA,0,2,2,100.0%,20.0,10.0,10.0,0.0,108.3,7.5,15.0,5.0,5,0,0,1.0,1,9,0,0.0%,5.0,2022,73
Jerome Baker,MIA,0,2,1,50.0%,21.0,21.0,10.5,0.0,87.5,19.0,-1.0,22.0,1,0,0,1.0,1,5,1,16.7%,5.0,2022,73
Zach Sieler,MIA,0,1,1,100.0%,3.0,3.0,3.0,0.0,79.2,-1.0,-1.0,4.0,0,0,1,0.0,1,3,0,0.0%,5.0,2022,73
Eric Rowe,MIA,0,2,1,50.0%,79.0,79.0,39.5,0.0,95.8,7.0,18.0,61.0,0,0,0,0.0,0,0,0,,5.0,2022,73
Jevon Holland,MIA,0,2,1,50.0%,11.0,11.0,5.5,0.0,66.7,12.5,9.0,2.0,0,0,0,0.0,0,3,0,0.0%,5.0,2022,73
Andrew Van Ginkel,MIA,0,1,1,100.0%,6.0,6.0,6.0,0.0,91.7,0.0,0.0,6.0,0,0,0,0.0,0,1,0,0.0%,5.0,2022,73
Noah Igbinoghene,MIA,0,4,1,25.0%,17.0,17.0,4.3,0.0,44.8,15.5,11.0,6.0,0,0,0,0.0,0,1,0,0.0%,5.0,2022,73
Elandon Roberts,MIA,0,1,1,100.0%,6.0,6.0,6.0,0.0,91.7,-1.0,-1.0,7.0,1,0,0,0.0,0,7,0,0.0%,5.0,2022,73
Channing Tindall,MIA,0,1,1,100.0%,9.0,9.0,9.0,0.0,104.2,6.0,6.0,3.0,0,0,0,0.0,0,1,0,0.0%,5.0,2022,73
Nik Needham,MIA,0,2,1,50.0%,21.0,21.0,10.5,0.0,87.5,20.0,21.0,0.0,0,0,0,0.0,0,5,1,16.7%,5.0,2022,73
Melvin Ingram,MIA,0,0,0,,,,,,,,,,2,1,0,0.0,1,1,0,0.0%,5.0,2022,73
Emmanuel Ogbah,MIA,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%,5.0,2022,73
Jaelan Phillips,MIA,0,0,0,,,,,,,,,,3,0,0,0.0,0,5,0,0.0%,5.0,2022,73
Kwon Alexander,NYJ,0,9,5,55.6%,41.0,8.2,4.6,0.0,67.4,2.9,16.0,25.0,1,0,0,0.0,0,10,1,9.1%,5.0,2022,73
C.J. Mosley,NYJ,0,6,5,83.3%,56.0,11.2,9.3,0.0,105.6,8.7,48.0,8.0,0,0,0,0.0,0,10,1,9.1%,5.0,2022,73
Sauce Gardner,NYJ,1,5,3,60.0%,25.0,8.3,5.0,0.0,33.3,12.2,10.0,15.0,1,0,1,0.0,1,5,1,16.7%,5.0,2022,73
D.J. Reed,NYJ,0,4,3,75.0%,15.0,5.0,3.8,0.0,80.2,8.8,11.0,4.0,0,0,0,0.0,0,5,0,0.0%,5.0,2022,73
Michael Carter II,NYJ,0,5,2,40.0%,16.0,8.0,3.2,0.0,48.7,4.4,-4.0,20.0,1,0,0,0.0,0,3,1,25.0%,5.0,2022,73
Jordan Whitehead,NYJ,0,1,1,100.0%,13.0,13.0,13.0,0.0,118.7,13.0,13.0,0.0,0,0,0,0.0,0,7,0,0.0%,5.0,2022,73
Carl Lawson,NYJ,0,0,0,,,,,,,,,,0,0,6,1.0,7,2,0,0.0%,5.0,2022,73
John Franklin-Myers,NYJ,0,0,0,,,,,,,,,,0,0,4,0.5,5,2,0,0.0%,5.0,2022,73
Quinnen Williams,NYJ,0,0,0,,,,,,,,,,0,0,1,0.5,2,3,0,0.0%,5.0,2022,73
Solomon Thomas,NYJ,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%,5.0,2022,73
Jacob Martin,NYJ,0,0,0,,,,,,,,,,0,1,0,0.0,1,0,0,,5.0,2022,73
Bryce Huff,NYJ,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,,5.0,2022,73
Micheal Clemons,NYJ,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%,5.0,2022,73
Will Parks,NYJ,0,1,0,0.0%,,,0.0,,39.6,8.0,,,0,0,0,0.0,0,2,0,0.0%,5.0,2022,73
Brandin Echols,NYJ,0,1,0,0.0%,,,0.0,,39.6,5.0,,,0,0,0,0.0,0,1,0,0.0%,5.0,2022,73
