Player,Tm,Def Interceptions Int,Def Interceptions Yds,Def Interceptions TD,Def Interceptions Lng,Def Interceptions PD,Sk,Tackles Comb,Tackles Solo,Tackles Ast,Tackles TFL,Tackles QBHits,Fumbles FR,Fumbles Yds,Fumbles TD,Fumbles FF,week,year,game_id
Brandon Jones,MIA,0,0,0,0,0,1.0,9,5,4,1,1,0,0,0,0,5.0,2022,73
Jerome Baker,MIA,0,0,0,0,1,1.0,5,4,1,1,1,0,0,0,0,5.0,2022,73
Elandon Roberts,MIA,0,0,0,0,0,0.0,7,4,3,1,0,0,0,0,0,5.0,2022,73
Christian Wilkins,MIA,0,0,0,0,1,0.0,6,2,4,1,0,0,0,0,0,5.0,2022,73
Nik Needham,MIA,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0,5.0,2022,73
Jaelan Phillips,MIA,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0,5.0,2022,73
Kader Kohou,MIA,0,0,0,0,0,0.0,4,4,0,1,0,0,0,0,0,5.0,2022,73
Jevon Holland,MIA,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,5.0,2022,73
Zach Sieler,MIA,0,0,0,0,0,0.0,3,1,2,0,1,0,0,0,0,5.0,2022,73
Elijah Campbell,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,5.0,2022,73
River Cracraft,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,5.0,2022,73
Noah Igbinoghene,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,5.0,2022,73
Melvin Ingram,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,5.0,2022,73
Greg Little,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,5.0,2022,73
Thomas Morstead,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,5.0,2022,73
Emmanuel Ogbah,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,5.0,2022,73
Duke Riley,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,5.0,2022,73
Channing Tindall,MIA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,5.0,2022,73
Andrew Van Ginkel,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,5.0,2022,73
Sauce Gardner,NYJ,1,3,0,3,1,0.0,5,3,2,0,1,0,0,0,0,5.0,2022,73
Carl Lawson,NYJ,0,0,0,0,0,1.0,2,1,1,0,7,0,0,0,1,5.0,2022,73
Quinnen Williams,NYJ,0,0,0,0,0,0.5,3,0,3,0,2,1,12,0,0,5.0,2022,73
John Franklin-Myers,NYJ,0,0,0,0,1,0.5,2,1,1,0,5,0,0,0,0,5.0,2022,73
Kwon Alexander,NYJ,0,0,0,0,0,0.0,10,6,4,1,0,0,0,0,0,5.0,2022,73
C.J. Mosley,NYJ,0,0,0,0,0,0.0,10,7,3,0,0,0,0,0,0,5.0,2022,73
Jordan Whitehead,NYJ,0,0,0,0,0,0.0,7,6,1,1,0,0,0,0,0,5.0,2022,73
D.J. Reed,NYJ,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0,5.0,2022,73
Michael Carter II,NYJ,0,0,0,0,2,0.0,3,2,1,0,0,0,0,0,0,5.0,2022,73
Lamarcus Joyner,NYJ,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0,5.0,2022,73
Will Parks,NYJ,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,5.0,2022,73
Sheldon Rankins,NYJ,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,5.0,2022,73
Micheal Clemons,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,5.0,2022,73
Brandin Echols,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,5.0,2022,73
Justin Hardee,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,5.0,2022,73
Marcell Harris,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,5.0,2022,73
Solomon Thomas,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,5.0,2022,73
Bryce Huff,NYJ,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,5.0,2022,73
