Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Jimmy Garoppolo,SFO,3,11,0,6,6.0,2022,82
Jeff Wilson,SFO,7,25,0,9,6.0,2022,82
Deebo Samuel,SFO,2,11,0,7,6.0,2022,82
Tevin Coleman,SFO,4,3,0,5,6.0,2022,82
Brandon Aiyuk,SFO,0,0,0,0,6.0,2022,82
George Kittle,SFO,0,0,0,0,6.0,2022,82
Kyle Juszczyk,SFO,0,0,0,0,6.0,2022,82
Jauan Jennings,SFO,0,0,0,0,6.0,2022,82
Charlie Woerner,SFO,0,0,0,0,6.0,2022,82
Ray-Ray McCloud,SFO,0,0,0,0,6.0,2022,82
Marcus Mariota,ATL,6,50,1,20,6.0,2022,82
Caleb Huntley,ATL,16,59,0,16,6.0,2022,82
Tyler Allgeier,ATL,15,51,0,8,6.0,2022,82
Avery Williams,ATL,2,6,0,3,6.0,2022,82
Keith Smith,ATL,1,2,0,2,6.0,2022,82
Olamide Zaccheaus,ATL,0,0,0,0,6.0,2022,82
Drake London,ATL,0,0,0,0,6.0,2022,82
Kyle Pitts,ATL,0,0,0,0,6.0,2022,82
MyCole Pruitt,ATL,0,0,0,0,6.0,2022,82
