Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,week,year,game_id
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,,,
Joe Burrow,CIN,28,37,300,3,0,3,27,60,126.0,6.0,2022,83
Joe Mixon,CIN,0,0,0,0,0,0,0,0,,6.0,2022,83
Samaje Perine,CIN,0,0,0,0,0,0,0,0,,6.0,2022,83
Ja'Marr Chase,CIN,0,0,0,0,0,0,0,0,,6.0,2022,83
Tyler Boyd,CIN,0,0,0,0,0,0,0,0,,6.0,2022,83
Tee Higgins,CIN,0,0,0,0,0,0,0,0,,6.0,2022,83
Hayden Hurst,CIN,0,0,0,0,0,0,0,0,,6.0,2022,83
Andy Dalton,NOR,17,32,162,1,0,1,7,20,77.9,6.0,2022,83
Taysom Hill,NOR,2,4,16,0,0,0,0,9,60.4,6.0,2022,83
Alvin Kamara,NOR,0,0,0,0,0,0,0,0,,6.0,2022,83
Mark Ingram,NOR,0,0,0,0,0,0,0,0,,6.0,2022,83
Rashid Shaheed,NOR,0,0,0,0,0,0,0,0,,6.0,2022,83
Tre'Quan Smith,NOR,0,0,0,0,0,0,0,0,,6.0,2022,83
Juwan Johnson,NOR,0,0,0,0,0,0,0,0,,6.0,2022,83
Marquez Callaway,NOR,0,0,0,0,0,0,0,0,,6.0,2022,83
Keith Kirkwood,NOR,0,0,0,0,0,0,0,0,,6.0,2022,83
Adam Trautman,NOR,0,0,0,0,0,0,0,0,,6.0,2022,83
Kevin White,NOR,0,0,0,0,0,0,0,0,,6.0,2022,83
