Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Tyquan Thornton,NWE,5,4,37,1,3.0,16,4.0,21,5.3,3.2,0,,0,0.0,0,137.1,6.0,2022,84
Rhamondre Stevenson,NWE,5,4,15,0,1.0,-7,-1.8,22,5.5,-0.8,0,,1,20.0,0,79.2,6.0,2022,84
DeVante Parker,NWE,6,4,64,0,3.0,51,12.8,13,3.3,13.0,0,,0,0.0,0,102.1,6.0,2022,84
Jakobi Meyers,NWE,4,4,60,0,2.0,44,11.0,16,4.0,11.0,0,,0,0.0,0,118.7,6.0,2022,84
Hunter Henry,NWE,7,4,61,1,3.0,33,8.3,28,7.0,6.0,0,,0,0.0,0,125.6,6.0,2022,84
Jonnu Smith,NWE,2,2,61,0,1.0,9,4.5,52,26.0,4.5,3,0.7,0,0.0,0,118.7,6.0,2022,84
Bailey Zappe,NWE,1,1,-6,0,0.0,-8,-8.0,2,2.0,-8.0,0,,0,0.0,0,79.2,6.0,2022,84
Kendrick Bourne,NWE,1,1,17,0,1.0,6,6.0,11,11.0,6.0,0,,0,0.0,0,118.7,6.0,2022,84
Amari Cooper,CLE,12,4,44,1,3.0,42,10.5,2,0.5,10.8,0,,1,8.3,0,72.9,6.0,2022,84
Donovan Peoples-Jones,CLE,5,4,74,0,3.0,64,16.0,10,2.5,15.8,0,,0,0.0,0,118.7,6.0,2022,84
David Njoku,CLE,6,3,58,0,2.0,45,15.0,13,4.3,15.8,0,,1,16.7,1,44.4,6.0,2022,84
Harrison Bryant,CLE,4,3,18,0,,14,4.7,4,1.3,7.8,0,,1,25.0,0,83.3,6.0,2022,84
D'Ernest Johnson,CLE,2,2,9,0,,4,2.0,5,2.5,2.0,0,,0,0.0,0,85.4,6.0,2022,84
Pharaoh Brown,CLE,3,2,21,0,2.0,3,1.5,18,9.0,12.0,0,,0,0.0,1,47.2,6.0,2022,84
Nick Chubb,CLE,2,1,14,0,1.0,0,0.0,14,14.0,-3.0,1,1.0,0,0.0,0,72.9,6.0,2022,84
Michael Woods II,CLE,2,1,15,0,1.0,10,10.0,5,5.0,23.5,0,,0,0.0,0,75.0,6.0,2022,84
David Bell,CLE,2,1,13,0,,6,6.0,7,7.0,5.5,0,,1,50.0,0,70.8,6.0,2022,84
Kareem Hunt,CLE,1,0,0,0,,0,,0,,3.0,0,,1,100.0,0,39.6,6.0,2022,84
Anthony Schwartz,CLE,3,0,0,0,,0,,0,,17.3,0,,2,66.7,0,39.6,6.0,2022,84
