#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,14:03,NYJ 23,3,1:35,9,Punt,0,Jets,6.0,2022,86
2,1,10:12,NYJ 24,5,2:24,19,Punt,0,Jets,6.0,2022,86
3,1,4:40,NYJ 15,3,2:18,-3,Punt,0,Jets,6.0,2022,86
4,2,14:54,NYJ 37,3,2:13,-7,Punt,0,Jets,6.0,2022,86
5,2,10:59,NYJ 8,3,0:59,8,Punt,0,Jets,6.0,2022,86
6,2,8:44,GNB 34,6,2:58,20,Field Goal,0,Jets,6.0,2022,86
7,2,2:19,NYJ 46,5,1:48,19,Missed FG,0,Jets,6.0,2022,86
8,3,15:00,NYJ 25,3,1:05,1,Punt,0,Jets,6.0,2022,86
9,3,10:21,NYJ 26,4,2:10,74,Touchdown,0,Jets,6.0,2022,86
10,3,2:35,NYJ 34,5,2:43,66,Touchdown,0,Jets,6.0,2022,86
11,4,9:12,NYJ 37,13,6:38,58,Field Goal,0,Jets,6.0,2022,86
12,4,1:57,GNB 32,3,1:57,-3,End of Game,0,Jets,6.0,2022,86
