Player,Pos,home_team,team,week,year,game_id
Patrick Mahomes,QB,1,Chiefs,6.0,2022,92
Clyde Edwards-Helaire,RB,1,Chiefs,6.0,2022,92
Marquez Valdes-Scantling,WR,1,Chiefs,6.0,2022,92
JuJu Smith-Schuster,WR,1,Chiefs,6.0,2022,92
Noah Gray,TE,1,Chiefs,6.0,2022,92
Travis Kelce,TE,1,Chiefs,6.0,2022,92
Joe Thuney,OL,1,Chiefs,6.0,2022,92
Trey Smith,OL,1,Chiefs,6.0,2022,92
Orlando Brown Jr.,T,1,Chiefs,6.0,2022,92
Andrew Wylie,G,1,Chiefs,6.0,2022,92
Creed Humphrey,C,1,Chiefs,6.0,2022,92
George Karlaftis III,DE,1,Chiefs,6.0,2022,92
Frank Clark,DE,1,Chiefs,6.0,2022,92
Chris Jones,DT,1,Chiefs,6.0,2022,92
Derrick Nnadi,DT,1,Chiefs,6.0,2022,92
Darius Harris,LB,1,Chiefs,6.0,2022,92
Leo Chenal,LB,1,Chiefs,6.0,2022,92
Nick Bolton,LB,1,Chiefs,6.0,2022,92
L'Jarius Sneed,CB,1,Chiefs,6.0,2022,92
Jaylen Watson,CB,1,Chiefs,6.0,2022,92
Justin Reid,S,1,Chiefs,6.0,2022,92
Juan Thornhill,S,1,Chiefs,6.0,2022,92
