Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,week,year,game_id
Tremaine Edmunds,BUF,0,7,6,85.7%,61.0,10.2,8.7,0.0,103.0,2.9,25.0,36.0,5,0,0,0.0,0,10,0,0.0%,6.0,2022,92
Jordan Poyer,BUF,0,4,4,100.0%,55.0,13.8,13.8,0.0,118.7,9.0,36.0,19.0,0,0,0,0.0,0,4,0,0.0%,6.0,2022,92
Matt Milano,BUF,0,3,3,100.0%,29.0,9.7,9.7,0.0,106.9,-1.0,-3.0,32.0,3,0,2,0.0,2,3,3,50.0%,6.0,2022,92
Kaiir Elam,BUF,1,4,3,75.0%,24.0,8.0,6.0,1.0,89.6,6.8,18.0,6.0,0,0,0,0.0,0,4,0,0.0%,6.0,2022,92
Dane Jackson,BUF,0,6,3,50.0%,44.0,14.7,7.3,0.0,74.3,7.2,21.0,23.0,0,0,0,0.0,0,2,2,50.0%,6.0,2022,92
Taron Johnson,BUF,1,8,3,37.5%,69.0,23.0,8.6,1.0,69.3,6.6,21.0,48.0,0,0,0,0.0,0,6,1,14.3%,6.0,2022,92
Christian Benford,BUF,0,2,1,50.0%,7.0,7.0,3.5,0.0,58.3,7.5,7.0,0.0,0,0,0,0.0,0,1,0,0.0%,6.0,2022,92
Siran Neal,BUF,0,2,1,50.0%,8.0,8.0,4.0,0.0,60.4,3.5,7.0,1.0,0,0,0,0.0,0,2,1,33.3%,6.0,2022,92
Damar Hamlin,BUF,0,1,1,100.0%,41.0,41.0,41.0,0.0,118.7,7.0,7.0,34.0,3,0,0,0.0,0,7,1,12.5%,6.0,2022,92
Ed Oliver,BUF,0,0,0,,,,,,,,,,0,0,2,0.0,2,1,0,0.0%,6.0,2022,92
Von Miller,BUF,0,0,0,,,,,,,,,,2,0,0,2.0,2,4,0,0.0%,6.0,2022,92
DaQuan Jones,BUF,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,0,0.0%,6.0,2022,92
Shaq Lawson,BUF,0,0,0,,,,,,,,,,0,0,0,1.0,1,2,0,0.0%,6.0,2022,92
Boogie Basham,BUF,0,0,0,,,,,,,,,,1,0,1,0.0,1,0,0,,6.0,2022,92
Gregory Rousseau,BUF,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%,6.0,2022,92
L'Jarius Sneed,KAN,0,8,6,75.0%,52.0,8.7,6.5,0.0,91.7,5.1,29.0,23.0,3,0,0,0.0,0,8,1,11.1%,6.0,2022,92
Jaylen Watson,KAN,0,7,6,85.7%,74.0,12.3,10.6,0.0,110.7,8.7,46.0,28.0,0,0,0,0.0,0,6,1,14.3%,6.0,2022,92
Joshua Williams,KAN,0,9,5,55.6%,87.0,17.4,9.7,2.0,128.2,11.1,67.0,20.0,3,1,0,0.0,1,9,0,0.0%,6.0,2022,92
Nick Bolton,KAN,0,4,3,75.0%,15.0,5.0,3.8,0.0,80.2,2.5,10.0,5.0,7,0,0,0.0,0,13,0,0.0%,6.0,2022,92
Juan Thornhill,KAN,0,2,2,100.0%,38.0,19.0,19.0,0.0,118.7,18.0,36.0,2.0,1,0,1,0.0,1,4,0,0.0%,6.0,2022,92
Justin Reid,KAN,0,3,2,66.7%,28.0,14.0,9.3,1.0,136.1,8.0,18.0,10.0,4,0,0,0.0,0,5,1,16.7%,6.0,2022,92
George Karlaftis III,KAN,0,1,1,100.0%,13.0,13.0,13.0,0.0,118.7,-2.0,-2.0,15.0,0,0,0,0.0,0,2,1,33.3%,6.0,2022,92
Darius Harris,KAN,0,2,1,50.0%,11.0,11.0,5.5,0.0,66.7,-0.5,1.0,10.0,3,0,0,0.0,0,6,0,0.0%,6.0,2022,92
Leo Chenal,KAN,0,1,1,100.0%,11.0,11.0,11.0,0.0,112.5,4.0,4.0,7.0,2,0,0,0.0,0,2,1,33.3%,6.0,2022,92
Chris Jones,KAN,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,0,0.0%,6.0,2022,92
Frank Clark,KAN,0,1,0,0.0%,,,0.0,,39.6,0.0,,,1,0,1,0.0,1,4,0,0.0%,6.0,2022,92
Khalen Saunders,KAN,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,0,0.0%,6.0,2022,92
Creed Humphrey,KAN,0,1,0,0.0%,,,0.0,,39.6,-4.0,,,1,0,0,0.0,0,0,0,,6.0,2022,92
Michael Danna,KAN,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,,6.0,2022,92
Deon Bush,KAN,0,1,0,0.0%,,,0.0,,39.6,26.0,,,1,0,0,0.0,0,1,0,0.0%,6.0,2022,92
