Player,Pos,Off. Num,Off. Pct,Def. Num,Def. Pct,ST Num,ST Pct,home_team,team,week,year,game_id
Cordell Volson,G,57,100%,0,0%,4,14%,0,Bengals,6.0,2022,83
Jonah Williams,T,57,100%,0,0%,4,14%,0,Bengals,6.0,2022,83
Ted Karras,C,57,100%,0,0%,2,7%,0,Bengals,6.0,2022,83
La'el Collins,T,57,100%,0,0%,0,0%,0,Bengals,6.0,2022,83
Joe Burrow,QB,57,100%,0,0%,0,0%,0,Bengals,6.0,2022,83
Alex Cappa,G,57,100%,0,0%,0,0%,0,Bengals,6.0,2022,83
Ja'Marr Chase,WR,56,98%,0,0%,0,0%,0,Bengals,6.0,2022,83
Tyler Boyd,WR,55,96%,0,0%,0,0%,0,Bengals,6.0,2022,83
Tee Higgins,WR,49,86%,0,0%,0,0%,0,Bengals,6.0,2022,83
Joe Mixon,RB,41,72%,0,0%,0,0%,0,Bengals,6.0,2022,83
Hayden Hurst,TE,40,70%,0,0%,4,14%,0,Bengals,6.0,2022,83
Mitchell Wilcox,TE,17,30%,0,0%,23,79%,0,Bengals,6.0,2022,83
Samaje Perine,RB,14,25%,0,0%,18,62%,0,Bengals,6.0,2022,83
Mike Thomas,WR,4,7%,0,0%,7,24%,0,Bengals,6.0,2022,83
Chris Evans,RB,3,5%,0,0%,17,59%,0,Bengals,6.0,2022,83
Trent Taylor,WR,3,5%,0,0%,3,10%,0,Bengals,6.0,2022,83
Stanley Morgan Jr.,WR,2,4%,0,0%,19,66%,0,Bengals,6.0,2022,83
Devin Asiasi,TE,1,2%,0,0%,8,28%,0,Bengals,6.0,2022,83
Jessie Bates III,FS,0,0%,72,100%,6,21%,0,Bengals,6.0,2022,83
Chidobe Awuzie,CB,0,0%,72,100%,6,21%,0,Bengals,6.0,2022,83
Vonn Bell,SS,0,0%,72,100%,0,0%,0,Bengals,6.0,2022,83
Eli Apple,CB,0,0%,72,100%,0,0%,0,Bengals,6.0,2022,83
Sam Hubbard,DE,0,0%,70,97%,6,21%,0,Bengals,6.0,2022,83
B.J. Hill,DT,0,0%,66,92%,6,21%,0,Bengals,6.0,2022,83
Logan Wilson,LB,0,0%,60,83%,5,17%,0,Bengals,6.0,2022,83
Germaine Pratt,LB,0,0%,58,81%,6,21%,0,Bengals,6.0,2022,83
Mike Hilton,CB,0,0%,56,78%,0,0%,0,Bengals,6.0,2022,83
Trey Hendrickson,DE,0,0%,55,76%,0,0%,0,Bengals,6.0,2022,83
Zachary Carter,DT,0,0%,30,42%,6,21%,0,Bengals,6.0,2022,83
Jay Tufele,DT,0,0%,23,32%,3,10%,0,Bengals,6.0,2022,83
Cameron Sample,DE,0,0%,20,28%,13,45%,0,Bengals,6.0,2022,83
Josh Tupou,NT,0,0%,19,26%,5,17%,0,Bengals,6.0,2022,83
Joseph Ossai,DE,0,0%,17,24%,0,0%,0,Bengals,6.0,2022,83
Tre Flowers,CB,0,0%,14,19%,18,62%,0,Bengals,6.0,2022,83
Akeem Davis-Gaither,LB,0,0%,11,15%,20,69%,0,Bengals,6.0,2022,83
Daxton Hill,FS,0,0%,3,4%,15,52%,0,Bengals,6.0,2022,83
Markus Bailey,LB,0,0%,2,3%,18,62%,0,Bengals,6.0,2022,83
Clay Johnston,LB,0,0%,0,0%,19,66%,0,Bengals,6.0,2022,83
Michael Thomas,SS,0,0%,0,0%,19,66%,0,Bengals,6.0,2022,83
Evan McPherson,K,0,0%,0,0%,10,34%,0,Bengals,6.0,2022,83
Kevin Huber,P,0,0%,0,0%,7,24%,0,Bengals,6.0,2022,83
Cal Adomitis,LS,0,0%,0,0%,7,24%,0,Bengals,6.0,2022,83
Max Scharping,G,0,0%,0,0%,4,14%,0,Bengals,6.0,2022,83
Trey Hill,C,0,0%,0,0%,4,14%,0,Bengals,6.0,2022,83
Hakeem Adeniji,G,0,0%,0,0%,4,14%,0,Bengals,6.0,2022,83
Jalen Davis,CB,0,0%,0,0%,3,10%,0,Bengals,6.0,2022,83
