Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Joe Burrow,CIN,0,0,0,0,0,6.0,2022,83
Joe Mixon,CIN,6,4,23,1,9,6.0,2022,83
Samaje Perine,CIN,2,2,11,0,9,6.0,2022,83
Ja'Marr Chase,CIN,10,7,132,2,60,6.0,2022,83
Tyler Boyd,CIN,6,6,66,0,21,6.0,2022,83
Tee Higgins,CIN,9,6,47,0,13,6.0,2022,83
Hayden Hurst,CIN,3,3,21,0,9,6.0,2022,83
Andy Dalton,NOR,0,0,0,0,0,6.0,2022,83
Taysom Hill,NOR,0,0,0,0,0,6.0,2022,83
Alvin Kamara,NOR,9,6,25,0,9,6.0,2022,83
Mark Ingram,NOR,2,1,11,0,11,6.0,2022,83
Rashid Shaheed,NOR,1,0,0,0,0,6.0,2022,83
Tre'Quan Smith,NOR,3,3,43,1,18,6.0,2022,83
Juwan Johnson,NOR,6,4,41,0,20,6.0,2022,83
Marquez Callaway,NOR,7,3,36,0,20,6.0,2022,83
Keith Kirkwood,NOR,1,1,14,0,14,6.0,2022,83
Adam Trautman,NOR,1,1,8,0,8,6.0,2022,83
Kevin White,NOR,1,0,0,0,0,6.0,2022,83
