Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,week,year,game_id
Anthony Brown,DAL,0,5,3,60.0%,43.0,14.3,8.6,0.0,87.9,8.0,20.0,23.0,0,0,0,0.0,0,3,1,25.0%,6.0,2022,93
Micah Parsons,DAL,0,4,3,75.0%,47.0,15.7,11.8,1.0,153.1,2.8,3.0,44.0,9,0,0,0.0,0,7,0,0.0%,6.0,2022,93
Leighton Vander Esch,DAL,0,3,2,66.7%,14.0,7.0,4.7,0.0,77.1,1.0,2.0,12.0,1,0,0,0.0,0,7,0,0.0%,6.0,2022,93
Jourdan Lewis,DAL,0,3,2,66.7%,13.0,6.5,4.3,0.0,75.7,7.3,6.0,7.0,1,0,0,0.0,0,3,0,0.0%,6.0,2022,93
Donovan Wilson,DAL,0,1,1,100.0%,7.0,7.0,7.0,1.0,135.4,7.0,7.0,0.0,0,0,0,1.0,1,5,2,28.6%,6.0,2022,93
DeMarcus Lawrence,DAL,0,1,1,100.0%,1.0,1.0,1.0,0.0,79.2,-5.0,-5.0,6.0,0,1,0,0.0,1,8,0,0.0%,6.0,2022,93
Malik Hooker,DAL,0,1,1,100.0%,11.0,11.0,11.0,0.0,112.5,8.0,8.0,3.0,1,0,0,0.0,0,13,1,7.1%,6.0,2022,93
Jayron Kearse,DAL,0,2,1,50.0%,8.0,8.0,4.0,0.0,60.4,5.5,1.0,7.0,2,0,0,0.0,0,5,0,0.0%,6.0,2022,93
Trevon Diggs,DAL,0,2,1,50.0%,11.0,11.0,5.5,0.0,66.7,5.5,5.0,6.0,0,0,0,0.0,0,3,0,0.0%,6.0,2022,93
Dorance Armstrong Jr.,DAL,0,0,0,,,,,,,,,,0,1,0,1.0,2,2,0,0.0%,6.0,2022,93
Chauncey Golston,DAL,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,1,25.0%,6.0,2022,93
Anthony Barr,DAL,0,0,0,,,,,,,,,,2,1,0,0.0,1,2,0,0.0%,6.0,2022,93
Dante Fowler,DAL,0,0,0,,,,,,,,,,0,0,0,1.0,1,2,0,0.0%,6.0,2022,93
Marcus Epps,PHI,0,6,4,66.7%,39.0,9.8,6.5,0.0,84.7,9.5,26.0,13.0,1,0,0,0.0,0,5,4,44.4%,6.0,2022,93
T.J. Edwards,PHI,0,6,3,50.0%,47.0,15.7,7.8,0.0,76.4,6.7,23.0,24.0,1,0,0,0.0,0,14,0,0.0%,6.0,2022,93
James Bradberry,PHI,0,10,3,30.0%,31.0,10.3,3.1,0.0,40.0,10.9,31.0,0.0,0,0,0,0.0,0,3,0,0.0%,6.0,2022,93
Avonte Maddox,PHI,0,3,2,66.7%,32.0,16.0,10.7,0.0,102.1,6.0,15.0,17.0,0,0,0,0.0,0,2,0,0.0%,6.0,2022,93
Kyzir White,PHI,0,5,2,40.0%,7.0,3.5,1.4,0.0,47.9,1.8,0.0,7.0,0,0,0,0.0,0,8,0,0.0%,6.0,2022,93
C.J. Gardner-Johnson,PHI,2,3,2,66.7%,15.0,7.5,5.0,1.0,78.5,11.0,5.0,10.0,0,0,0,0.0,0,4,1,20.0%,6.0,2022,93
Darius Slay,PHI,1,3,1,33.3%,0.0,0.0,0.0,0.0,2.8,8.7,-2.0,2.0,0,0,0,0.0,0,2,0,0.0%,6.0,2022,93
K'Von Wallace,PHI,0,1,1,100.0%,10.0,10.0,10.0,0.0,108.3,3.0,3.0,7.0,0,0,0,0.0,0,4,0,0.0%,6.0,2022,93
Haason Reddick,PHI,0,0,0,,,,,,,,,,7,0,2,0.0,2,1,2,66.7%,6.0,2022,93
Javon Hargrave,PHI,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,0,0.0%,6.0,2022,93
Brandon Graham,PHI,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%,6.0,2022,93
Patrick Johnson,PHI,0,0,0,,,,,,,,,,2,0,0,0.0,0,1,0,0.0%,6.0,2022,93
