Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,week,year,game_id
Lavonte David,TAM,0,7,6,85.7%,69.0,11.5,9.9,0.0,107.7,7.4,50.0,19.0,0,0,0,0.0,0,12,1,7.7%,6.0,2022,89
Jamel Dean,TAM,0,6,5,83.3%,66.0,13.2,11.0,0.0,112.5,5.2,26.0,40.0,0,0,0,0.0,0,6,0,0.0%,6.0,2022,89
Carlton Davis,TAM,0,7,4,57.1%,30.0,7.5,4.3,1.0,107.1,8.1,30.0,0.0,0,0,0,0.0,0,4,1,20.0%,6.0,2022,89
Antoine Winfield Jr.,TAM,0,2,1,50.0%,17.0,17.0,8.5,0.0,79.2,9.5,12.0,5.0,4,0,0,1.0,1,5,0,0.0%,6.0,2022,89
Dee Delaney,TAM,0,1,1,100.0%,5.0,5.0,5.0,0.0,87.5,5.0,5.0,0.0,0,0,0,0.0,0,5,0,0.0%,6.0,2022,89
Devin White,TAM,0,2,1,50.0%,14.0,14.0,7.0,0.0,72.9,4.0,3.0,11.0,5,0,0,0.0,0,8,0,0.0%,6.0,2022,89
Keanu Neal,TAM,0,1,1,100.0%,4.0,4.0,4.0,0.0,83.3,4.0,4.0,0.0,3,0,0,0.0,0,4,0,0.0%,6.0,2022,89
Shaquil Barrett,TAM,0,0,0,,,,,,,,,,1,1,0,0.0,1,4,0,0.0%,6.0,2022,89
Vita Vea,TAM,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,0,0.0%,6.0,2022,89
Carl Nassib,TAM,0,0,0,,,,,,,,,,1,0,0,1.0,1,1,0,0.0%,6.0,2022,89
Joe Tryon-Shoyinka,TAM,0,0,0,,,,,,,,,,1,0,0,0.0,0,3,1,25.0%,6.0,2022,89
Deadrin Senat,TAM,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%,6.0,2022,89
Myles Jack,PIT,0,9,8,88.9%,46.0,5.8,5.1,0.0,88.0,2.4,17.0,29.0,0,0,0,0.0,0,8,1,11.1%,6.0,2022,89
Robert Spillane,PIT,0,6,5,83.3%,69.0,13.8,11.5,0.0,114.6,11.3,54.0,15.0,0,0,0,0.0,0,5,1,16.7%,6.0,2022,89
Josh Jackson,PIT,0,3,3,100.0%,33.0,11.0,11.0,0.0,112.5,10.0,30.0,3.0,0,0,0,0.0,0,4,0,0.0%,6.0,2022,89
Devin Bush Jr.,PIT,0,2,2,100.0%,14.0,7.0,7.0,0.0,95.8,1.5,3.0,11.0,0,0,0,0.0,0,6,0,0.0%,6.0,2022,89
James Pierre,PIT,0,8,2,25.0%,15.0,7.5,1.9,0.0,39.6,8.1,9.0,6.0,0,0,0,0.0,0,3,0,0.0%,6.0,2022,89
Tre Norwood,PIT,0,5,2,40.0%,25.0,12.5,5.0,0.0,56.2,13.6,24.0,1.0,0,0,0,0.0,0,5,2,28.6%,6.0,2022,89
Arthur Maulet,PIT,0,2,1,50.0%,39.0,39.0,19.5,1.0,135.4,9.5,19.0,20.0,4,1,0,0.0,1,3,1,25.0%,6.0,2022,89
Elijah Riley,PIT,0,1,1,100.0%,2.0,2.0,2.0,0.0,79.2,0.0,0.0,2.0,0,0,0,0.0,0,1,0,0.0%,6.0,2022,89
Larry Ogunjobi,PIT,0,0,0,,,,,,,,,,0,0,2,0.0,2,4,0,0.0%,6.0,2022,89
Cameron Heyward,PIT,0,0,0,,,,,,,,,,0,0,1,1.0,2,3,0,0.0%,6.0,2022,89
Alex Highsmith,PIT,0,1,0,0.0%,,,0.0,,39.6,4.0,,,0,0,0,1.0,1,1,0,0.0%,6.0,2022,89
Chris Wormley,PIT,0,0,0,,,,,,,,,,0,0,0,0.0,0,3,1,25.0%,6.0,2022,89
