Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,week,year,game_id
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,,,
Cameron Jordan,NOR,0,0,0,0,0,1.0,6,4,2,2,1,0,0,0,0,7.0,2022,95
Demario Davis,NOR,0,0,0,0,0,1.0,4,4,0,1,1,0,0,0,0,7.0,2022,95
Pete Werner,NOR,0,0,0,0,1,0.0,7,3,4,2,0,0,0,0,0,7.0,2022,95
Marcus Davenport,NOR,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0,7.0,2022,95
Chris Harris Jr.,NOR,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,1,7.0,2022,95
Justin Evans,NOR,0,0,0,0,0,0.0,5,5,0,1,0,0,0,0,0,7.0,2022,95
Tyrann Mathieu,NOR,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,7.0,2022,95
Marcus Maye,NOR,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,7.0,2022,95
Tanoh Kpassagnon,NOR,0,0,0,0,0,0.0,3,2,1,2,0,0,0,0,0,7.0,2022,95
Malcolm Roach,NOR,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,7.0,2022,95
Alontae Taylor,NOR,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,7.0,2022,95
Carl Granderson,NOR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,7.0,2022,95
David Onyemata,NOR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,7.0,2022,95
Kentavius Street,NOR,0,0,0,0,1,0.0,2,0,2,0,0,0,0,0,0,7.0,2022,95
Andrew Dowell,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,7.0,2022,95
Bradley Roby,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,7.0,2022,95
Shy Tuttle,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,7.0,2022,95
Antonio Hamilton,ARI,1,0,0,0,2,0.0,6,6,0,0,0,0,0,0,0,7.0,2022,95
Isaiah Simmons,ARI,1,56,1,56,1,0.0,5,4,1,0,0,0,0,0,0,7.0,2022,95
Marco Wilson,ARI,1,38,1,38,2,0.0,3,2,1,0,0,0,0,0,0,7.0,2022,95
Zaven Collins,ARI,0,0,0,0,0,0.0,9,6,3,0,0,0,0,0,0,7.0,2022,95
Budda Baker,ARI,0,0,0,0,1,0.0,5,4,1,1,0,0,0,0,0,7.0,2022,95
Byron Murphy,ARI,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0,7.0,2022,95
Jalen Thompson,ARI,0,0,0,0,2,0.0,5,2,3,0,0,0,0,0,0,7.0,2022,95
Ben Niemann,ARI,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,7.0,2022,95
Zach Allen,ARI,0,0,0,0,1,0.0,3,2,1,1,1,0,0,0,0,7.0,2022,95
Tanner Vallejo,ARI,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0,7.0,2022,95
Victor Dimukeje,ARI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,7.0,2022,95
Leki Fotu,ARI,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0,7.0,2022,95
Markus Golden,ARI,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0,7.0,2022,95
J.J. Watt,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,7.0,2022,95
Stephen Anderson,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,7.0,2022,95
Michael Dogbe,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,7.0,2022,95
Rashard Lawrence,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,7.0,2022,95
Jesse Luketa,ARI,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0,7.0,2022,95
Trey McBride,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,7.0,2022,95
Cameron Thomas,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,7.0,2022,95
Zeke Turner,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,7.0,2022,95
DeAndre Hopkins,ARI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,7.0,2022,95
Kyler Murray,ARI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,7.0,2022,95
