Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Daniel Jones,NYG,11,107,1,24,7.0,2022,102
Saquon Barkley,NYG,24,110,0,20,7.0,2022,102
Matt Breida,NYG,4,19,0,6,7.0,2022,102
Darius Slayton,NYG,0,0,0,0,7.0,2022,102
Wan'Dale Robinson,NYG,0,0,0,0,7.0,2022,102
Chris Myarick,NYG,0,0,0,0,7.0,2022,102
David Sills,NYG,0,0,0,0,7.0,2022,102
Daniel Bellinger,NYG,0,0,0,0,7.0,2022,102
Richie James,NYG,0,0,0,0,7.0,2022,102
Tanner Hudson,NYG,0,0,0,0,7.0,2022,102
Marcus Johnson,NYG,0,0,0,0,7.0,2022,102
Trevor Lawrence,JAX,4,3,1,1,7.0,2022,102
Christian Kirk,JAX,1,5,0,5,7.0,2022,102
Travis Etienne,JAX,14,114,1,49,7.0,2022,102
Zay Jones,JAX,1,14,0,14,7.0,2022,102
Jamycal Hasty,JAX,1,6,0,6,7.0,2022,102
Evan Engram,JAX,0,0,0,0,7.0,2022,102
Marvin Jones,JAX,0,0,0,0,7.0,2022,102
Dan Arnold,JAX,0,0,0,0,7.0,2022,102
Tim Jones,JAX,0,0,0,0,7.0,2022,102
James Robinson,JAX,0,0,0,0,7.0,2022,102
