Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,week,year,game_id
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,,,
Kenny Pickett,PIT,32,44,257,1,3,2,11,30,66.2,7.0,2022,107
Najee Harris,PIT,0,0,0,0,0,0,0,0,,7.0,2022,107
Jaylen Warren,PIT,0,0,0,0,0,0,0,0,,7.0,2022,107
Diontae Johnson,PIT,0,0,0,0,0,0,0,0,,7.0,2022,107
Pat Freiermuth,PIT,0,0,0,0,0,0,0,0,,7.0,2022,107
George Pickens,PIT,0,0,0,0,0,0,0,0,,7.0,2022,107
Chase Claypool,PIT,0,0,0,0,0,0,0,0,,7.0,2022,107
Connor Heyward,PIT,0,0,0,0,0,0,0,0,,7.0,2022,107
Zach Gentry,PIT,0,0,0,0,0,0,0,0,,7.0,2022,107
Tua Tagovailoa,MIA,21,35,261,1,0,0,0,32,92.7,7.0,2022,107
Raheem Mostert,MIA,0,0,0,0,0,0,0,0,,7.0,2022,107
Chase Edmonds,MIA,0,0,0,0,0,0,0,0,,7.0,2022,107
Jaylen Waddle,MIA,0,0,0,0,0,0,0,0,,7.0,2022,107
Tyreek Hill,MIA,0,0,0,0,0,0,0,0,,7.0,2022,107
Trent Sherfield,MIA,0,0,0,0,0,0,0,0,,7.0,2022,107
Mike Gesicki,MIA,0,0,0,0,0,0,0,0,,7.0,2022,107
