Player,Pos,Off. Num,Off. Pct,Def. Num,Def. Pct,ST Num,ST Pct,home_team,team,week,year,game_id
Aaron Banks,G,79,100%,0,0%,5,18%,1,49ers,7.0,2022,105
Mike McGlinchey,T,79,100%,0,0%,5,18%,1,49ers,7.0,2022,105
Trent Williams,T,79,100%,0,0%,0,0%,1,49ers,7.0,2022,105
Jake Brendel,C,79,100%,0,0%,0,0%,1,49ers,7.0,2022,105
Brandon Aiyuk,WR,74,94%,0,0%,0,0%,1,49ers,7.0,2022,105
George Kittle,TE,70,89%,0,0%,0,0%,1,49ers,7.0,2022,105
Jimmy Garoppolo,QB,69,87%,0,0%,0,0%,1,49ers,7.0,2022,105
Deebo Samuel,WR,68,86%,0,0%,0,0%,1,49ers,7.0,2022,105
Spencer Burford,G,55,70%,0,0%,5,18%,1,49ers,7.0,2022,105
Kyle Juszczyk,FB,38,48%,0,0%,5,18%,1,49ers,7.0,2022,105
Jauan Jennings,WR,32,41%,0,0%,15,54%,1,49ers,7.0,2022,105
Jeff Wilson,RB,26,33%,0,0%,2,7%,1,49ers,7.0,2022,105
Daniel Brunskill,C,24,30%,0,0%,5,18%,1,49ers,7.0,2022,105
Christian McCaffrey,RB,23,29%,0,0%,0,0%,1,49ers,7.0,2022,105
Ray-Ray McCloud,WR,20,25%,0,0%,8,29%,1,49ers,7.0,2022,105
Tyrion Davis-Price,RB,13,16%,0,0%,8,29%,1,49ers,7.0,2022,105
Charlie Woerner,TE,12,15%,0,0%,21,75%,1,49ers,7.0,2022,105
Ross Dwelley,TE,11,14%,0,0%,13,46%,1,49ers,7.0,2022,105
Brock Purdy,QB,10,13%,0,0%,0,0%,1,49ers,7.0,2022,105
Danny Gray,WR,8,10%,0,0%,0,0%,1,49ers,7.0,2022,105
Fred Warner,LB,0,0%,64,100%,7,25%,1,49ers,7.0,2022,105
Tashaun Gipson,FS,0,0%,64,100%,2,7%,1,49ers,7.0,2022,105
Charvarius Ward,CB,0,0%,63,98%,7,25%,1,49ers,7.0,2022,105
Deommodore Lenoir,CB,0,0%,58,91%,13,46%,1,49ers,7.0,2022,105
Talanoa Hufanga,SS,0,0%,57,89%,6,21%,1,49ers,7.0,2022,105
Jimmie Ward,FS,0,0%,56,88%,0,0%,1,49ers,7.0,2022,105
Samson Ebukam,DE,0,0%,47,73%,7,25%,1,49ers,7.0,2022,105
Nick Bosa,DE,0,0%,42,66%,0,0%,1,49ers,7.0,2022,105
Charles Omenihu,DE,0,0%,38,59%,7,25%,1,49ers,7.0,2022,105
Demetrius Flannigan-Fowles,LB,0,0%,36,56%,16,57%,1,49ers,7.0,2022,105
Dre Greenlaw,LB,0,0%,36,56%,0,0%,1,49ers,7.0,2022,105
Drake Jackson,DE,0,0%,32,50%,0,0%,1,49ers,7.0,2022,105
Hassan Ridgeway,DT,0,0%,26,41%,7,25%,1,49ers,7.0,2022,105
Kevin Givens,DT,0,0%,25,39%,7,25%,1,49ers,7.0,2022,105
Kerry Hyder,DE,0,0%,24,38%,7,25%,1,49ers,7.0,2022,105
Akeem Spence,DT,0,0%,21,33%,0,0%,1,49ers,7.0,2022,105
Ambry Thomas,CB,0,0%,8,13%,8,29%,1,49ers,7.0,2022,105
Tarvarius Moore,SS,0,0%,7,11%,16,57%,1,49ers,7.0,2022,105
George Odum,FS,0,0%,0,0%,23,82%,1,49ers,7.0,2022,105
Oren Burks,LB,0,0%,0,0%,23,82%,1,49ers,7.0,2022,105
Curtis Robinson,LB,0,0%,0,0%,16,57%,1,49ers,7.0,2022,105
Robbie Gould,K,0,0%,0,0%,11,39%,1,49ers,7.0,2022,105
Samuel Womack,CB,0,0%,0,0%,9,32%,1,49ers,7.0,2022,105
Mitch Wishnowsky,P,0,0%,0,0%,7,25%,1,49ers,7.0,2022,105
Taybor Pepper,LS,0,0%,0,0%,6,21%,1,49ers,7.0,2022,105
Jaylon Moore,T,0,0%,0,0%,5,18%,1,49ers,7.0,2022,105
Blake Hance,G,0,0%,0,0%,5,18%,1,49ers,7.0,2022,105
Tevin Coleman,RB,0,0%,0,0%,1,4%,1,49ers,7.0,2022,105
