Player,Tm,Def Interceptions Int,Def Interceptions Yds,Def Interceptions TD,Def Interceptions Lng,Def Interceptions PD,Sk,Tackles Comb,Tackles Solo,Tackles Ast,Tackles TFL,Tackles QBHits,Fumbles FR,Fumbles Yds,Fumbles TD,Fumbles FF,week,year,game_id
Juan Thornhill,KAN,1,0,0,0,2,0.0,11,8,3,0,0,0,0,0,0,7.0,2022,105
Joshua Williams,KAN,1,7,0,7,3,0.0,1,1,0,0,0,0,0,0,0,7.0,2022,105
Chris Jones,KAN,0,0,0,0,0,2.0,3,2,1,1,1,0,0,0,1,7.0,2022,105
Frank Clark,KAN,0,0,0,0,0,1.5,2,1,1,1,2,0,0,0,0,7.0,2022,105
Willie Gay Jr.,KAN,0,0,0,0,0,0.5,8,4,4,0,1,0,0,0,0,7.0,2022,105
L'Jarius Sneed,KAN,0,0,0,0,1,0.5,6,4,2,0,1,0,0,0,0,7.0,2022,105
Khalen Saunders,KAN,0,0,0,0,0,0.5,3,2,1,0,1,0,0,0,0,7.0,2022,105
Nick Bolton,KAN,0,0,0,0,0,0.0,10,7,3,1,1,0,0,0,0,7.0,2022,105
Justin Reid,KAN,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0,7.0,2022,105
Jaylen Watson,KAN,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0,7.0,2022,105
Deon Bush,KAN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,7.0,2022,105
Carlos Dunlap,KAN,0,0,0,0,1,0.0,2,1,1,1,0,0,0,0,0,7.0,2022,105
George Karlaftis III,KAN,0,0,0,0,1,0.0,2,0,2,0,1,0,0,0,0,7.0,2022,105
Marcus Kemp,KAN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,7.0,2022,105
Chris Lammons,KAN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,7.0,2022,105
Derrick Nnadi,KAN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,7.0,2022,105
Dicaprio Bootle,KAN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,7.0,2022,105
Michael Burton,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,7.0,2022,105
Leo Chenal,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,7.0,2022,105
Bryan Cook,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,7.0,2022,105
Malik Herring,KAN,0,0,0,0,0,0.0,1,0,1,0,0,1,0,0,0,7.0,2022,105
Marquez Valdes-Scantling,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,7.0,2022,105
Patrick Mahomes,KAN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,7.0,2022,105
Talanoa Hufanga,SFO,1,2,0,2,1,0.0,4,2,2,0,0,0,0,0,0,7.0,2022,105
Nick Bosa,SFO,0,0,0,0,0,1.0,4,4,0,1,1,0,0,0,0,7.0,2022,105
Charvarius Ward,SFO,0,0,0,0,0,0.0,10,8,2,0,0,0,0,0,0,7.0,2022,105
Fred Warner,SFO,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0,7.0,2022,105
Tashaun Gipson,SFO,0,0,0,0,1,0.0,5,5,0,0,0,0,0,0,0,7.0,2022,105
Deommodore Lenoir,SFO,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,7.0,2022,105
Samson Ebukam,SFO,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,7.0,2022,105
Dre Greenlaw,SFO,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,7.0,2022,105
Oren Burks,SFO,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,7.0,2022,105
Demetrius Flannigan-Fowles,SFO,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,7.0,2022,105
Tarvarius Moore,SFO,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,7.0,2022,105
George Odum,SFO,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,7.0,2022,105
Jimmie Ward,SFO,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,7.0,2022,105
Brandon Aiyuk,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,7.0,2022,105
Kevin Givens,SFO,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0,7.0,2022,105
Kerry Hyder,SFO,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0,7.0,2022,105
Drake Jackson,SFO,0,0,0,0,1,0.0,1,0,1,0,1,0,0,0,0,7.0,2022,105
Jauan Jennings,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,7.0,2022,105
Hassan Ridgeway,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,7.0,2022,105
Akeem Spence,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,7.0,2022,105
Ambry Thomas,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,7.0,2022,105
Samuel Womack,SFO,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,7.0,2022,105
