Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,week,year,game_id
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,,,
Kenny Pickett,PIT,25,38,191,0,1,6,38,25,66.9,8.0,2022,112
Najee Harris,PIT,1,1,4,0,0,0,0,4,83.3,8.0,2022,112
Chase Claypool,PIT,1,1,1,1,0,0,0,1,118.7,8.0,2022,112
Jaylen Warren,PIT,0,0,0,0,0,0,0,0,,8.0,2022,112
Steven Sims,PIT,0,0,0,0,0,0,0,0,,8.0,2022,112
Marcus Allen,PIT,0,0,0,0,0,0,0,0,,8.0,2022,112
Pat Freiermuth,PIT,0,0,0,0,0,0,0,0,,8.0,2022,112
Diontae Johnson,PIT,0,0,0,0,0,0,0,0,,8.0,2022,112
Derek Watt,PIT,0,0,0,0,0,0,0,0,,8.0,2022,112
Zach Gentry,PIT,0,0,0,0,0,0,0,0,,8.0,2022,112
George Pickens,PIT,0,0,0,0,0,0,0,0,,8.0,2022,112
Jalen Hurts,PHI,19,28,285,4,0,3,18,43,140.6,8.0,2022,112
Gardner Minshew II,PHI,1,2,23,0,0,0,0,23,91.7,8.0,2022,112
Miles Sanders,PHI,0,0,0,0,0,0,0,0,,8.0,2022,112
Boston Scott,PHI,0,0,0,0,0,0,0,0,,8.0,2022,112
Kenneth Gainwell,PHI,0,0,0,0,0,0,0,0,,8.0,2022,112
A.J. Brown,PHI,0,0,0,0,0,0,0,0,,8.0,2022,112
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,8.0,2022,112
Zach Pascal,PHI,0,0,0,0,0,0,0,0,,8.0,2022,112
DeVonta Smith,PHI,0,0,0,0,0,0,0,0,,8.0,2022,112
Jack Stoll,PHI,0,0,0,0,0,0,0,0,,8.0,2022,112
Quez Watkins,PHI,0,0,0,0,0,0,0,0,,8.0,2022,112
