Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Robert Tonyan,GNB,6,5,35,0,1.0,12,2.4,23,4.6,5.8,1,5.0,0,0.0,0,91.0,8.0,2022,122
Romeo Doubs,GNB,7,4,62,1,3.0,49,12.3,13,3.3,18.3,0,,0,0.0,0,126.2,8.0,2022,122
Aaron Jones,GNB,5,4,14,0,1.0,-13,-3.3,27,6.8,-3.2,0,,1,20.0,0,79.2,8.0,2022,122
Christian Watson,GNB,1,1,12,0,,0,0.0,12,12.0,0.0,0,,0,0.0,0,116.7,8.0,2022,122
Josiah Deguara,GNB,1,1,9,0,,-6,-6.0,15,15.0,-6.0,0,,0,0.0,0,104.2,8.0,2022,122
AJ Dillon,GNB,1,1,9,0,0.0,0,0.0,9,9.0,0.0,0,,0,0.0,0,104.2,8.0,2022,122
Sammy Watkins,GNB,1,1,3,0,1.0,3,3.0,0,0.0,3.0,0,,0,0.0,0,79.2,8.0,2022,122
Samori Toure,GNB,4,1,37,1,1.0,37,37.0,0,0.0,17.3,0,,0,0.0,0,105.2,8.0,2022,122
Amari Rodgers,GNB,3,1,22,0,1.0,19,19.0,3,3.0,6.3,0,,0,0.0,1,20.8,8.0,2022,122
Stefon Diggs,BUF,8,6,108,1,3.0,82,13.7,26,4.3,15.9,0,,0,0.0,0,156.2,8.0,2022,122
Gabriel Davis,BUF,7,2,35,0,1.0,15,7.5,20,10.0,13.4,0,,1,14.3,2,8.3,8.0,2022,122
Dawson Knox,BUF,3,2,10,1,1.0,9,4.5,1,0.5,8.7,0,,0,0.0,0,111.1,8.0,2022,122
Devin Singletary,BUF,2,1,16,0,1.0,3,3.0,13,13.0,4.0,0,,0,0.0,0,77.1,8.0,2022,122
Isaiah McKenzie,BUF,1,1,8,0,1.0,5,5.0,3,3.0,5.0,0,,0,0.0,0,100.0,8.0,2022,122
James Cook,BUF,1,1,41,0,1.0,17,17.0,24,24.0,17.0,0,,0,0.0,0,118.7,8.0,2022,122
Khalil Shakir,BUF,2,0,0,0,,0,,0,,12.5,0,,0,0.0,0,39.6,8.0,2022,122
Jake Kumerow,BUF,1,0,0,0,,0,,0,,19.0,0,,0,0.0,0,39.6,8.0,2022,122
