Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Aaron Rodgers,GNB,0,0,0,0,0,8.0,2022,122
Aaron Jones,GNB,5,4,14,0,7,8.0,2022,122
AJ Dillon,GNB,1,1,9,0,9,8.0,2022,122
Romeo Doubs,GNB,7,4,62,1,26,8.0,2022,122
Samori Toure,GNB,4,1,37,1,37,8.0,2022,122
Robert Tonyan,GNB,6,5,35,0,15,8.0,2022,122
Amari Rodgers,GNB,3,1,22,0,22,8.0,2022,122
Christian Watson,GNB,1,1,12,0,12,8.0,2022,122
Josiah Deguara,GNB,1,1,9,0,9,8.0,2022,122
Sammy Watkins,GNB,1,1,3,0,3,8.0,2022,122
Josh Allen,BUF,0,0,0,0,0,8.0,2022,122
Devin Singletary,BUF,2,1,16,0,16,8.0,2022,122
James Cook,BUF,1,1,41,0,41,8.0,2022,122
Isaiah McKenzie,BUF,1,1,8,0,8,8.0,2022,122
Stefon Diggs,BUF,8,6,108,1,53,8.0,2022,122
Gabriel Davis,BUF,7,2,35,0,29,8.0,2022,122
Dawson Knox,BUF,3,2,10,1,9,8.0,2022,122
Khalil Shakir,BUF,2,0,0,0,0,8.0,2022,122
Jake Kumerow,BUF,1,0,0,0,0,8.0,2022,122
