Player,Pos,Off. Num,Off. Pct,Def. Num,Def. Pct,ST Num,ST Pct,home_team,team,week,year,game_id
Braxton Jones,T,79,100%,0,0%,3,10%,0,Bears,8.0,2022,114
Riley Reiff,T,79,100%,0,0%,3,10%,0,Bears,8.0,2022,114
Michael Schofield,G,79,100%,0,0%,3,10%,0,Bears,8.0,2022,114
Teven Jenkins,T,76,96%,0,0%,3,10%,0,Bears,8.0,2022,114
Sam Mustipher,C,76,96%,0,0%,0,0%,0,Bears,8.0,2022,114
Justin Fields,QB,76,96%,0,0%,0,0%,0,Bears,8.0,2022,114
Cole Kmet,TE,75,95%,0,0%,3,10%,0,Bears,8.0,2022,114
Darnell Mooney,WR,68,86%,0,0%,0,0%,0,Bears,8.0,2022,114
David Montgomery,RB,55,70%,0,0%,0,0%,0,Bears,8.0,2022,114
N'Keal Harry,WR,50,63%,0,0%,0,0%,0,Bears,8.0,2022,114
Dante Pettis,WR,42,53%,0,0%,2,7%,0,Bears,8.0,2022,114
Trevon Wesco,TE,25,32%,0,0%,8,28%,0,Bears,8.0,2022,114
Equanimeous St. Brown,WR,25,32%,0,0%,0,0%,0,Bears,8.0,2022,114
Khalil Herbert,RB,22,28%,0,0%,4,14%,0,Bears,8.0,2022,114
Velus Jones Jr.,WR,15,19%,0,0%,8,28%,0,Bears,8.0,2022,114
Khari Blasingame,FB,9,11%,0,0%,14,48%,0,Bears,8.0,2022,114
Ryan Griffin,TE,6,8%,0,0%,7,24%,0,Bears,8.0,2022,114
Dieter Eiselen,G,6,8%,0,0%,3,10%,0,Bears,8.0,2022,114
Trestan Ebner,RB,3,4%,0,0%,15,52%,0,Bears,8.0,2022,114
Trevor Siemian,QB,3,4%,0,0%,0,0%,0,Bears,8.0,2022,114
Nicholas Morrow,LB,0,0%,58,100%,7,24%,0,Bears,8.0,2022,114
Eddie Jackson,SS,0,0%,58,100%,6,21%,0,Bears,8.0,2022,114
Jaquan Brisker,SS,0,0%,58,100%,5,17%,0,Bears,8.0,2022,114
Roquan Smith,LB,0,0%,58,100%,0,0%,0,Bears,8.0,2022,114
Jaylon Johnson,CB,0,0%,57,98%,7,24%,0,Bears,8.0,2022,114
Kyler Gordon,CB,0,0%,55,95%,7,24%,0,Bears,8.0,2022,114
Al-Quadin Muhammad,DE,0,0%,48,83%,7,24%,0,Bears,8.0,2022,114
Justin Jones,DT,0,0%,39,67%,7,24%,0,Bears,8.0,2022,114
Trevis Gipson,LB,0,0%,39,67%,7,24%,0,Bears,8.0,2022,114
Kindle Vildor,CB,0,0%,39,67%,0,0%,0,Bears,8.0,2022,114
Armon Watts,NT,0,0%,31,53%,0,0%,0,Bears,8.0,2022,114
Angelo Blackson,DT,0,0%,24,41%,7,24%,0,Bears,8.0,2022,114
Mike Pennel,NT,0,0%,22,38%,0,0%,0,Bears,8.0,2022,114
Dominique Robinson,DE,0,0%,21,36%,8,28%,0,Bears,8.0,2022,114
Jack Sanborn,LB,0,0%,13,22%,18,62%,0,Bears,8.0,2022,114
Kingsley Jonathan,DE,0,0%,9,16%,0,0%,0,Bears,8.0,2022,114
Joe Thomas,LB,0,0%,8,14%,26,90%,0,Bears,8.0,2022,114
DeAndre Houston-Carson,FS,0,0%,1,2%,20,69%,0,Bears,8.0,2022,114
Dane Cruikshank,SS,0,0%,0,0%,22,76%,0,Bears,8.0,2022,114
Jaylon Jones,CB,0,0%,0,0%,19,66%,0,Bears,8.0,2022,114
Sterling Weatherford,LB,0,0%,0,0%,19,66%,0,Bears,8.0,2022,114
Elijah Hicks,FS,0,0%,0,0%,15,52%,0,Bears,8.0,2022,114
Josh Blackwell,CB,0,0%,0,0%,11,38%,0,Bears,8.0,2022,114
Cairo Santos,K,0,0%,0,0%,8,28%,0,Bears,8.0,2022,114
Trenton Gill,P,0,0%,0,0%,7,24%,0,Bears,8.0,2022,114
Patrick Scales,LS,0,0%,0,0%,7,24%,0,Bears,8.0,2022,114
Ja'Tyre Carter,T,0,0%,0,0%,3,10%,0,Bears,8.0,2022,114
