#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,13:28,JAX 27,4,2:20,14,Punt,1,Jaguars,8.0,2022,110
2,1,10:36,DEN 37,5,2:56,37,Touchdown,1,Jaguars,8.0,2022,110
3,1,5:04,JAX 19,13,7:22,80,Interception,1,Jaguars,8.0,2022,110
4,2,10:52,JAX 27,6,2:09,54,Field Goal,1,Jaguars,8.0,2022,110
5,2,2:44,JAX 33,7,1:43,15,Punt,1,Jaguars,8.0,2022,110
6,3,15:00,JAX 24,8,5:31,29,Punt,1,Jaguars,8.0,2022,110
7,3,5:07,JAX 25,5,3:01,19,Punt,1,Jaguars,8.0,2022,110
8,3,0:30,JAX 39,3,1:10,-2,Punt,1,Jaguars,8.0,2022,110
9,4,12:51,JAX 29,8,4:33,23,Punt,1,Jaguars,8.0,2022,110
10,4,7:06,DEN 47,6,3:12,47,Touchdown,1,Jaguars,8.0,2022,110
11,4,1:43,JAX 25,1,0:07,0,Interception,1,Jaguars,8.0,2022,110
