Player,Pos,Off. Num,Off. Pct,Def. Num,Def. Pct,ST Num,ST Pct,home_team,team,week,year,game_id
Aaron Banks,G,53,100%,0,0%,5,21%,0,49ers,8.0,2022,119
Mike McGlinchey,T,53,100%,0,0%,5,21%,0,49ers,8.0,2022,119
Trent Williams,T,53,100%,0,0%,0,0%,0,49ers,8.0,2022,119
Jake Brendel,C,53,100%,0,0%,0,0%,0,49ers,8.0,2022,119
George Kittle,TE,53,100%,0,0%,0,0%,0,49ers,8.0,2022,119
Jimmy Garoppolo,QB,53,100%,0,0%,0,0%,0,49ers,8.0,2022,119
Brandon Aiyuk,WR,52,98%,0,0%,0,0%,0,49ers,8.0,2022,119
Christian McCaffrey,RB,43,81%,0,0%,0,0%,0,49ers,8.0,2022,119
Spencer Burford,G,31,58%,0,0%,5,21%,0,49ers,8.0,2022,119
Ray-Ray McCloud,WR,30,57%,0,0%,8,33%,0,49ers,8.0,2022,119
Daniel Brunskill,C,22,42%,0,0%,5,21%,0,49ers,8.0,2022,119
Willie Snead,WR,21,40%,0,0%,7,29%,0,49ers,8.0,2022,119
Ross Dwelley,TE,19,36%,0,0%,15,63%,0,49ers,8.0,2022,119
Jeff Wilson,RB,19,36%,0,0%,0,0%,0,49ers,8.0,2022,119
Tyler Kroft,TE,18,34%,0,0%,3,13%,0,49ers,8.0,2022,119
Danny Gray,WR,5,9%,0,0%,0,0%,0,49ers,8.0,2022,119
Charlie Woerner,TE,4,8%,0,0%,21,88%,0,49ers,8.0,2022,119
Tay Martin,WR,1,2%,0,0%,5,21%,0,49ers,8.0,2022,119
Oren Burks,LB,0,0%,58,100%,7,29%,0,49ers,8.0,2022,119
Deommodore Lenoir,CB,0,0%,58,100%,4,17%,0,49ers,8.0,2022,119
Fred Warner,LB,0,0%,58,100%,3,13%,0,49ers,8.0,2022,119
Tashaun Gipson,FS,0,0%,58,100%,3,13%,0,49ers,8.0,2022,119
Jimmie Ward,FS,0,0%,56,97%,6,25%,0,49ers,8.0,2022,119
Talanoa Hufanga,SS,0,0%,55,95%,6,25%,0,49ers,8.0,2022,119
Charvarius Ward,CB,0,0%,52,90%,3,13%,0,49ers,8.0,2022,119
Nick Bosa,DE,0,0%,48,83%,1,4%,0,49ers,8.0,2022,119
Samson Ebukam,DE,0,0%,42,72%,3,13%,0,49ers,8.0,2022,119
Charles Omenihu,DE,0,0%,33,57%,3,13%,0,49ers,8.0,2022,119
Kevin Givens,DT,0,0%,28,48%,2,8%,0,49ers,8.0,2022,119
Hassan Ridgeway,DT,0,0%,22,38%,2,8%,0,49ers,8.0,2022,119
Drake Jackson,DE,0,0%,21,36%,1,4%,0,49ers,8.0,2022,119
Kerry Hyder,DE,0,0%,20,34%,6,25%,0,49ers,8.0,2022,119
Akeem Spence,DT,0,0%,11,19%,0,0%,0,49ers,8.0,2022,119
Ambry Thomas,CB,0,0%,8,14%,0,0%,0,49ers,8.0,2022,119
T.Y. McGill,DT,0,0%,7,12%,0,0%,0,49ers,8.0,2022,119
Tarvarius Moore,SS,0,0%,3,5%,16,67%,0,49ers,8.0,2022,119
George Odum,FS,0,0%,0,0%,18,75%,0,49ers,8.0,2022,119
Samuel Womack,CB,0,0%,0,0%,16,67%,0,49ers,8.0,2022,119
Curtis Robinson,LB,0,0%,0,0%,16,67%,0,49ers,8.0,2022,119
Jordan Mason,RB,0,0%,0,0%,16,67%,0,49ers,8.0,2022,119
Demetrius Flannigan-Fowles,LB,0,0%,0,0%,16,67%,0,49ers,8.0,2022,119
Robbie Gould,K,0,0%,0,0%,11,46%,0,49ers,8.0,2022,119
Taybor Pepper,LS,0,0%,0,0%,8,33%,0,49ers,8.0,2022,119
Mitch Wishnowsky,P,0,0%,0,0%,8,33%,0,49ers,8.0,2022,119
Nick Zakelj,G,0,0%,0,0%,5,21%,0,49ers,8.0,2022,119
Jaylon Moore,T,0,0%,0,0%,5,21%,0,49ers,8.0,2022,119
