Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Aaron Rodgers,GNB,0,0,9.0,2022,126
AJ Dillon,GNB,1,0,9.0,2022,126
Aaron Jones,GNB,0,0,9.0,2022,126
Kylin Hill,GNB,0,0,9.0,2022,126
Allen Lazard,GNB,0,0,9.0,2022,126
Josiah Deguara,GNB,0,0,9.0,2022,126
Samori Toure,GNB,1,0,9.0,2022,126
Robert Tonyan,GNB,0,0,9.0,2022,126
Christian Watson,GNB,0,0,9.0,2022,126
Marcedes Lewis,GNB,0,0,9.0,2022,126
Romeo Doubs,GNB,0,0,9.0,2022,126
Sammy Watkins,GNB,0,0,9.0,2022,126
David Bakhtiari,GNB,0,0,9.0,2022,126
Amari Rodgers,GNB,0,0,9.0,2022,126
Jared Goff,DET,0,0,9.0,2022,126
Jamaal Williams,DET,0,0,9.0,2022,126
Justin Jackson,DET,0,0,9.0,2022,126
D'Andre Swift,DET,0,0,9.0,2022,126
Amon-Ra St. Brown,DET,0,0,9.0,2022,126
Kalif Raymond,DET,0,0,9.0,2022,126
Tom Kennedy,DET,0,0,9.0,2022,126
James Mitchell,DET,0,0,9.0,2022,126
Shane Zylstra,DET,0,0,9.0,2022,126
Brock Wright,DET,0,0,9.0,2022,126
