Player,Tm,Def Interceptions Int,Def Interceptions Yds,Def Interceptions TD,Def Interceptions Lng,Def Interceptions PD,Sk,Tackles Comb,Tackles Solo,Tackles Ast,Tackles TFL,Tackles QBHits,Fumbles FR,Fumbles Yds,Fumbles TD,Fumbles FF,week,year,game_id
Harrison Smith,MIN,1,35,0,35,1,0.0,4,2,2,0,0,0,0,0,0,9.0,2022,127
Danielle Hunter,MIN,0,0,0,0,0,2.0,7,4,3,2,2,0,0,0,0,9.0,2022,127
D.J. Wonnum,MIN,0,0,0,0,0,1.0,1,1,0,1,2,0,0,0,0,9.0,2022,127
Jordan Hicks,MIN,0,0,0,0,2,0.0,12,10,2,0,0,0,0,0,0,9.0,2022,127
Eric Kendricks,MIN,0,0,0,0,0,0.0,9,8,1,1,0,0,0,0,0,9.0,2022,127
Akayleb Evans,MIN,0,0,0,0,1,0.0,7,4,3,2,0,0,0,0,0,9.0,2022,127
Za'Darius Smith,MIN,0,0,0,0,2,0.0,5,4,1,0,3,0,0,0,0,9.0,2022,127
Harrison Phillips,MIN,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0,9.0,2022,127
Kris Boyd,MIN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,9.0,2022,127
Jonathan Bullard,MIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,9.0,2022,127
Cameron Dantzler,MIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,9.0,2022,127
Troy Dye,MIN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,9.0,2022,127
James Lynch,MIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,9.0,2022,127
Josh Metellus,MIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,9.0,2022,127
Camryn Bynum,MIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,9.0,2022,127
Dan Chisena,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,9.0,2022,127
Andrew DePaola,MIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,9.0,2022,127
Theo Jackson,MIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,9.0,2022,127
Patrick Peterson,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,9.0,2022,127
Chandon Sullivan,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,9.0,2022,127
Khyiris Tonga,MIN,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0,9.0,2022,127
Danny Johnson,WAS,1,0,0,0,1,0.0,4,2,2,0,0,0,0,0,0,9.0,2022,127
Daron Payne,WAS,0,0,0,0,0,1.0,6,4,2,4,2,0,0,0,0,9.0,2022,127
Benjamin St-Juste,WAS,0,0,0,0,2,1.0,3,3,0,1,1,0,0,0,0,9.0,2022,127
Kamren Curl,WAS,0,0,0,0,0,0.0,11,8,3,2,0,0,0,0,0,9.0,2022,127
Bobby McCain,WAS,0,0,0,0,1,0.0,8,6,2,1,0,0,0,0,0,9.0,2022,127
Jonathan Bostic,WAS,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0,9.0,2022,127
Jamin Davis,WAS,0,0,0,0,1,0.0,5,4,1,1,0,0,0,0,0,9.0,2022,127
Kendall Fuller,WAS,0,0,0,0,1,0.0,4,3,1,1,0,0,0,0,0,9.0,2022,127
Darrick Forrest,WAS,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,9.0,2022,127
James Smith-Williams,WAS,0,0,0,0,0,0.0,3,2,1,1,1,0,0,0,0,9.0,2022,127
Casey Toohill,WAS,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,9.0,2022,127
Jonathan Allen,WAS,0,0,0,0,0,0.0,2,2,0,2,4,0,0,0,0,9.0,2022,127
Khaleke Hudson,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,9.0,2022,127
Efe Obada,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,9.0,2022,127
Jeremy Reaves,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,9.0,2022,127
John Ridgeway,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,9.0,2022,127
Armani Rogers,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,9.0,2022,127
Cam Sims,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,9.0,2022,127
Montez Sweat,WAS,0,0,0,0,1,0.0,1,0,1,0,3,0,0,0,0,9.0,2022,127
