Rk,Player,Age,Team,Pos,G,GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving 1D,Receiving YBC,Receiving YBC/R,Receiving YAC,Receiving YAC/R,Receiving ADOT,Receiving BrkTkl,Receiving Rec/Br,Receiving Drop,Receiving Drop%,Receiving Int,Receiving Rat,Awards
1.0,Justin Jefferson,23.0,MIN,WR,17.0,17.0,184.0,128.0,1809.0,80.0,1185.0,9.3,624.0,4.9,10.1,6.0,21.3,5.0,2.7,5.0,104.2,"PB,AP-1,AP MVP-5,AP OPoY-1"
2.0,Tyreek Hill,28.0,MIA,WR,17.0,17.0,170.0,119.0,1710.0,77.0,1228.0,10.3,482.0,4.1,12.2,5.0,23.8,8.0,4.7,6.0,101.3,"PB,AP-1,AP MVP-9,AP OPoY-4"
3.0,Travis Kelce,33.0,KAN,TE,17.0,17.0,152.0,110.0,1338.0,78.0,690.0,6.3,648.0,5.9,7.1,13.0,8.5,8.0,5.3,3.0,117.2,"PB,AP-1,AP OPoY-6"
4.0,Stefon Diggs,29.0,BUF,WR,16.0,16.0,154.0,108.0,1429.0,74.0,1010.0,9.4,419.0,3.9,11.2,2.0,54.0,8.0,5.2,1.0,120.3,"PB,AP-2"
5.0,Austin Ekeler,27.0,LAC,RB,17.0,17.0,127.0,107.0,722.0,36.0,-121.0,-1.1,843.0,7.9,-0.8,11.0,9.7,9.0,7.1,0.0,103.5,AP OPoY-9
6.0,CeeDee Lamb,23.0,DAL,WR,17.0,17.0,156.0,107.0,1359.0,67.0,873.0,8.2,486.0,4.5,10.1,10.0,10.7,6.0,3.8,4.0,104.1,"PB,AP-2"
7.0,Amon-Ra St. Brown,23.0,DET,WR,16.0,16.0,146.0,106.0,1161.0,68.0,645.0,6.1,516.0,4.9,6.3,7.0,15.1,4.0,2.7,1.0,106.6,PB
8.0,Chris Godwin,26.0,TAM,WR,15.0,13.0,142.0,104.0,1023.0,53.0,496.0,4.8,527.0,5.1,5.7,4.0,26.0,3.0,2.1,1.0,97.2,AP CPoY-7
9.0,Davante Adams,30.0,LVR,WR,17.0,17.0,180.0,100.0,1516.0,65.0,1023.0,10.2,493.0,4.9,11.8,9.0,11.1,7.0,3.9,6.0,95.5,"PB,AP-1"
10.0,Michael Pittman Jr.,25.0,IND,WR,16.0,16.0,141.0,99.0,925.0,51.0,568.0,5.7,357.0,3.6,6.9,4.0,24.8,6.0,4.3,3.0,88.5,
11.0,DeVonta Smith,24.0,PHI,WR,17.0,17.0,136.0,95.0,1196.0,57.0,706.0,7.4,490.0,5.2,9.6,5.0,19.0,8.0,5.9,1.0,111.0,
