No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
34.0,Mackensie Alexander,29.0,LB,1,1.0,192.0,5-10,Clemson,11/12/1993,6,0.0,Minnesota Vikings / 2nd / 54th pick / 2016
5.0,Bryan Anger,34.0,P,17,0.0,202.0,6-3,California,10/6/1988,10,3.0,Jacksonville Jaguars / 3rd / 70th pick / 2012
92.0,Dorance Armstrong Jr.,25.0,RDE,17,5.0,255.0,6-4,Kansas,6/10/1997,4,5.0,Dallas Cowboys / 4th / 116th pick / 2018
75.0,Josh Ball,24.0,T,13,0.0,304.0,6-8,"Marshall,Butler (KS),Florida St.",5/15/1998,1,1.0,Dallas Cowboys / 4th / 138th pick / 2021
42.0,Anthony Barr,30.0,RLB,14,10.0,257.0,6-5,UCLA,3/18/1992,8,6.0,Minnesota Vikings / 1st / 9th pick / 2014
93.0,Tarell Basham,28.0,DE,2,0.0,266.0,6-4,Ohio,3/18/1994,5,0.0,Indianapolis Colts / 3rd / 80th pick / 2017
41.0,Markquese Bell,23.0,S,5,0.0,205.0,6-3,Florida A&M,1/6/1999,Rook,0.0,
63.0,Tyler Biadasz,25.0,C,16,16.0,318.0,6-4,Wisconsin,11/20/1997,2,9.0,Dallas Cowboys / 4th / 146th pick / 2020
26.0,DaRon Bland,23.0,DB,17,8.0,197.0,6-0,"Sacramento St.,Fresno St.",7/12/1999,Rook,4.0,Dallas Cowboys / 5th / 167th pick / 2022
98.0,Quinton Bohanna,23.0,RDT,13,9.0,355.0,6-4,Kentucky,3/16/1999,1,4.0,Dallas Cowboys / 6th / 192nd pick / 2021
3.0,Anthony Brown,29.0,LCB,12,12.0,192.0,5-11,Purdue,12/15/1993,6,4.0,Dallas Cowboys / 6th / 189th pick / 2016
85.0,Noah Brown,26.0,WR,16,13.0,225.0,6-2,Ohio St.,1/6/1996,5,6.0,Dallas Cowboys / 7th / 239th pick / 2017
33.0,Damone Clark,22.0,LB,10,5.0,240.0,6-3,LSU,6/28/2000,Rook,3.0,Dallas Cowboys / 5th / 176th pick / 2022
76.0,Aviante Collins,28.0,T,2,0.0,292.0,6-4,TCU,5/13/1994,5,0.0,
14.0,Jabril Cox,24.0,LB,9,0.0,233.0,6-3,"North Dakota St.,LSU",4/16/1998,1,1.0,Dallas Cowboys / 4th / 115th pick / 2021
31.0,Tyler Coyle,24.0,S,1,0.0,210.0,6-1,Purdue,11/15/1998,1,0.0,
34.0,Malik Davis,24.0,RB,12,0.0,202.0,5-11,Florida,11/26/1998,Rook,2.0,
7.0,Trevon Diggs,24.0,RCB,17,17.0,195.0,6-2,Alabama,9/20/1998,2,9.0,Dallas Cowboys / 2nd / 51st pick / 2020
23.0,Rico Dowdle,24.0,RB,5,0.0,215.0,5-11,South Carolina,6/14/1998,2,0.0,
21.0,Ezekiel Elliott,27.0,RB,15,14.0,228.0,6-0,Ohio St.,7/22/1995,6,6.0,Dallas Cowboys / 1st / 4th pick / 2016
68.0,Matt Farniok,25.0,G,7,2.0,315.0,6-5,Nebraska,9/26/1997,1,1.0,Dallas Cowboys / 7th / 238th pick / 2021
81.0,Simi Fehoko,25.0,WR,5,0.0,225.0,6-4,Stanford,11/5/1997,1,0.0,Dallas Cowboys / 5th / 179th pick / 2021
48.0,Jake Ferguson,23.0,TE,16,8.0,244.0,6-5,Wisconsin,1/18/1999,Rook,2.0,Dallas Cowboys / 4th / 129th pick / 2022
56.0,Dante Fowler,28.0,DE,17,0.0,261.0,6-3,Florida,8/3/1994,6,2.0,Jacksonville Jaguars / 1st / 3rd pick / 2015
96.0,Neville Gallimore,25.0,DT,16,1.0,307.0,6-2,Oklahoma,1/17/1997,2,2.0,Dallas Cowboys / 3rd / 82nd pick / 2020
13.0,Michael Gallup,26.0,WR,14,11.0,205.0,6-1,Colorado St.,3/4/1996,4,4.0,Dallas Cowboys / 3rd / 81st pick / 2018
57.0,Luke Gifford,27.0,LB,16,0.0,243.0,6-3,Nebraska,8/28/1995,3,2.0,
59.0,Chauncey Golston,24.0,LB,15,0.0,277.0,6-5,Iowa,2/10/1998,1,1.0,Dallas Cowboys / 3rd / 84th pick / 2021
29.0,C.J. Goodwin,32.0,CB,17,0.0,190.0,6-3,California (PA),2/4/1990,6,1.0,
95.0,Johnathan Hankins,30.0,DT,5,3.0,335.0,6-3,Ohio St.,3/30/1992,9,2.0,New York Giants / 2nd / 49th pick / 2013
50.0,Devin Harper,24.0,LB,3,0.0,234.0,6-0,Oklahoma St.,5/13/1998,Rook,0.0,Dallas Cowboys / 6th / 193rd pick / 2022
49.0,Peyton Hendershot,23.0,TE,17,2.0,254.0,6-4,Indiana,4/23/1999,Rook,1.0,
72.0,Trysten Hill,24.0,DT,7,0.0,310.0,6-3,Central Florida,3/25/1998,3,1.0,Dallas Cowboys / 2nd / 58th pick / 2019
13.0,T.Y. Hilton,33.0,WR,3,0.0,183.0,5-10,Florida International,11/14/1989,10,1.0,Indianapolis Colts / 3rd / 92nd pick / 2012
