Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
DeAundre Alford,25.0,CB,16,0.0,180.0,71,Tusculum,11/5/1997,1,1.0,Atlanta Falcons,,,,
Josh Ali,23.0,WR,2,0.0,200.0,72,Kentucky,3/3/1999,0,0.0,Atlanta Falcons,,,,
Tyler Allgeier,22.0,RB,16,7.0,225.0,70,BYU,4/15/2000,0,8.0,Atlanta Falcons,Atlanta Falcons,5.0,151.0,2022.0
Troy Andersen,23.0,MLB,17,5.0,245.0,76,Montana St.,4/23/1999,0,3.0,Atlanta Falcons,Atlanta Falcons,2.0,58.0,2022.0
Abdullah Anderson,26.0,LDT,16,8.0,295.0,76,Bucknell,1/24/1996,3,4.0,Atlanta Falcons,,,,
Cornell Armstrong,27.0,DB,9,4.0,185.0,72,Southern Miss,9/22/1995,4,1.0,Atlanta Falcons,Miami Dolphins,6.0,209.0,2018.0
Quinton Bell,26.0,LB,4,0.0,258.0,76,Prairie View A&M,5/9/1996,2,0.0,Atlanta Falcons,Oakland Raiders,7.0,230.0,2019.0
Jared Bernhardt,25.0,WR,2,0.0,195.0,73,"Maryland,Ferris St.",9/12/1997,0,0.0,Atlanta Falcons,,,,
Damiere Byrd,29.0,WR,14,4.0,175.0,69,South Carolina,1/27/1993,6,3.0,Atlanta Falcons,,,,
Lorenzo Carter,27.0,RLB,17,17.0,264.0,77,Georgia,12/10/1995,4,8.0,Atlanta Falcons,New York Giants,3.0,66.0,2018.0
Drew Dalman,24.0,C,17,17.0,301.0,75,Stanford,10/15/1998,1,7.0,Atlanta Falcons,Atlanta Falcons,4.0,114.0,2021.0
Jalen Dalton,25.0,DT,7,0.0,288.0,77,North Carolina,8/4/1997,1,0.0,Atlanta Falcons,,,,
Frank Darby,25.0,WR,5,0.0,200.0,73,Arizona St.,9/8/1997,1,0.0,Atlanta Falcons,Atlanta Falcons,6.0,187.0,2021.0
Matt Dickerson,27.0,DE,6,0.0,300.0,77,UCLA,11/9/1995,4,0.0,Atlanta Falcons,,,,
Arnold Ebiketie,23.0,OLB,16,1.0,250.0,74,"Temple,Penn St.",1/23/1999,0,2.0,Atlanta Falcons,Atlanta Falcons,2.0,38.0,2022.0
Chuma Edoga,25.0,T,2,1.0,315.0,76,USC,5/25/1997,3,1.0,Atlanta Falcons,New York Jets,3.0,92.0,2019.0
Bryan Edwards,24.0,WR,7,1.0,212.0,75,South Carolina,11/13/1998,2,0.0,Atlanta Falcons,Las Vegas Raiders,3.0,81.0,2020.0
Rashaan Evans,27.0,LLB,17,17.0,232.0,74,Alabama,11/8/1995,4,7.0,Atlanta Falcons,Tennessee Titans,1.0,22.0,2018.0
Rashad Fenton,25.0,CB,2,1.0,193.0,71,South Carolina,2/17/1997,3,0.0,Atlanta Falcons,Kansas City Chiefs,6.0,201.0,2019.0
Anthony Firkser,27.0,FB,11,1.0,241.0,74,Harvard,2/19/1995,4,1.0,Atlanta Falcons,,,,
Mike Ford,27.0,CB,17,2.0,199.0,72,SE Missouri St.,8/4/1995,4,1.0,Atlanta Falcons,,,,
Feleipe Franks,25.0,QB,11,1.0,241.0,78,"Florida,Arkansas",12/22/1997,1,0.0,Atlanta Falcons,,,,
Colby Gossett,27.0,G,17,4.0,311.0,77,Appalachian St.,6/23/1995,4,2.0,Atlanta Falcons,Minnesota Vikings,6.0,213.0,2018.0
Ta'Quon Graham,24.0,LDT,11,9.0,300.0,76,Texas,12/1/1998,1,4.0,Atlanta Falcons,Atlanta Falcons,5.0,148.0,2021.0
Richie Grant,25.0,SS,17,17.0,200.0,72,Central Florida,11/9/1997,1,6.0,Atlanta Falcons,Atlanta Falcons,2.0,40.0,2021.0
Darren Hall,22.0,RCB,17,9.0,195.0,72,San Diego St.,5/2/2000,1,3.0,Atlanta Falcons,Atlanta Falcons,4.0,108.0,2021.0
Erik Harris,32.0,S,14,1.0,225.0,74,California (PA),4/2/1990,6,1.0,Atlanta Falcons,,,,
Jaylinn Hawkins,25.0,FS,16,16.0,208.0,73,California,8/25/1997,2,6.0,Atlanta Falcons,Atlanta Falcons,4.0,134.0,2020.0
Casey Hayward,33.0,LCB/RCB,6,6.0,192.0,71,Vanderbilt,9/9/1989,10,2.0,Atlanta Falcons,Green Bay Packers,2.0,62.0,2012.0
Matt Hennessy,25.0,C,11,3.0,315.0,75,Temple,11/17/1997,2,2.0,Atlanta Falcons,Atlanta Falcons,3.0,78.0,2020.0
Parker Hesse,27.0,TE,17,7.0,251.0,75,Iowa,5/26/1995,1,1.0,Atlanta Falcons,,,,
KhaDarel Hodge,27.0,WR,17,1.0,210.0,74,"Alcorn St.,Hinds CC,Prairie View A&M",1/3/1995,4,2.0,Atlanta Falcons,,,,
Timmy Horne,25.0,DE,17,5.0,323.0,76,"Charlotte,Kansas St.",10/25/1997,0,3.0,Atlanta Falcons,,,,
Caleb Huntley,24.0,RB,12,0.0,229.0,70,Ball St.,9/15/1998,1,2.0,Atlanta Falcons,,,,
Germain Ifedi,28.0,G,17,0.0,325.0,77,Texas A&M,6/2/1994,6,1.0,Atlanta Falcons,Seattle Seahawks,1.0,31.0,2016.0
Grady Jarrett,29.0,RDT,17,17.0,294.0,73,Clemson,4/28/1993,7,7.0,Atlanta Falcons,Atlanta Falcons,5.0,137.0,2015.0
Jaleel Johnson,28.0,DT,6,0.0,316.0,75,Iowa,7/12/1994,5,0.0,Atlanta Falcons,Minnesota Vikings,4.0,109.0,2017.0
Younghoe Koo,28.0,K,17,0.0,195.0,70,Georgia Southern,8/3/1994,5,4.0,Atlanta Falcons,,,,
Nick Kwiatkoski,29.0,LB,12,0.0,242.0,74,West Virginia,5/26/1993,6,1.0,Atlanta Falcons,Chicago Bears,4.0,113.0,2016.0
Nathan Landman,24.0,LB,7,0.0,235.0,75,Colorado,11/19/1998,0,0.0,Atlanta Falcons,,,,
Chris Lindstrom,25.0,RG,17,17.0,310.0,76,Boston Col.,2/28/1997,3,11.0,Atlanta Falcons,Atlanta Falcons,1.0,14.0,2019.0
Drake London,21.0,WR,17,15.0,215.0,76,USC,7/24/2001,0,9.0,Atlanta Falcons,Atlanta Falcons,1.0,8.0,2022.0
DeAngelo Malone,23.0,LB,15,0.0,235.0,75,Western Kentucky,7/12/1999,0,1.0,Atlanta Falcons,Atlanta Falcons,3.0,82.0,2022.0
Marcus Mariota,29.0,QB,13,13.0,222.0,76,Oregon,10/30/1993,7,11.0,Atlanta Falcons,Tennessee Titans,1.0,2.0,2015.0
Dean Marlowe,30.0,S,8,1.0,205.0,73,James Madison,7/25/1992,7,1.0,Atlanta Falcons,,,,
Jake Matthews,30.0,LT,17,17.0,310.0,77,Texas A&M,2/11/1992,8,8.0,Atlanta Falcons,Atlanta Falcons,1.0,6.0,2014.0
Liam McCullough,25.0,LS,17,0.0,245.0,74,Ohio St.,6/5/1997,1,1.0,Atlanta Falcons,,,,
Kaleb McGary,27.0,RT,17,17.0,330.0,78,Washington,2/22/1995,3,8.0,Atlanta Falcons,Atlanta Falcons,1.0,31.0,2019.0
Jovante Moffatt,26.0,S,3,0.0,210.0,72,Middle Tenn. St.,12/25/1996,2,0.0,Atlanta Falcons,,,,
Ryan Neuzil,25.0,G,9,0.0,305.0,75,Appalachian St.,7/31/1997,1,1.0,Atlanta Falcons,,,,
Adetokunbo Ogundeji,24.0,LDE,16,16.0,268.0,76,Notre Dame,10/9/1998,1,6.0,Atlanta Falcons,Atlanta Falcons,5.0,182.0,2021.0
Isaiah Oliver,26.0,LCB/RCB,12,5.0,202.0,72,Colorado,9/30/1996,4,2.0,Atlanta Falcons,Atlanta Falcons,2.0,58.0,2018.0
Cordarrelle Patterson,31.0,RB,13,11.0,220.0,74,Tennessee,3/17/1991,9,7.0,Atlanta Falcons,Minnesota Vikings,1.0,29.0,2013.0
Bradley Pinion,28.0,P,17,0.0,265.0,77,Clemson,6/1/1994,7,2.0,Atlanta Falcons,San Francisco 49ers,5.0,165.0,2015.0
Kyle Pitts,22.0,TE,10,10.0,250.0,78,Florida,10/6/2000,1,4.0,Atlanta Falcons,Atlanta Falcons,1.0,4.0,2021.0
MyCole Pruitt,30.0,TE,13,4.0,258.0,74,Southern Illinois,3/24/1992,7,2.0,Atlanta Falcons,Minnesota Vikings,5.0,143.0,2015.0
Desmond Ridder,23.0,QB,4,4.0,215.0,76,Cincinnati,8/31/1999,0,3.0,Atlanta Falcons,Atlanta Falcons,3.0,74.0,2022.0
Anthony Rush,26.0,RDE,4,4.0,361.0,76,Ala-Birmingham,9/1/1996,3,2.0,Atlanta Falcons,,,,
Keith Smith,30.0,WR,17,6.0,240.0,72,San Jose St.,4/8/1992,8,0.0,Atlanta Falcons,,,,
AJ Terrell,24.0,LCB/RCB,14,14.0,200.0,73,Clemson,9/23/1998,2,4.0,Atlanta Falcons,Atlanta Falcons,1.0,16.0,2020.0
Mykal Walker,25.0,MLB,16,12.0,235.0,75,"Azusa Pacific,Fresno St.",8/28/1997,2,6.0,Atlanta Falcons,Atlanta Falcons,4.0,119.0,2020.0
Elijah Wilkinson,27.0,LG,9,9.0,310.0,78,Massachusetts,2/10/1995,5,4.0,Atlanta Falcons,,,,
Avery Williams,24.0,RB,17,3.0,195.0,69,Boise St.,7/15/1998,1,1.0,Atlanta Falcons,Atlanta Falcons,5.0,183.0,2021.0
Damien Williams,30.0,RB,1,1.0,221.0,71,Oklahoma,4/3/1992,8,0.0,Atlanta Falcons,,,,
Logan Woodside,27.0,QB,1,0.0,201.0,74,Toledo,1/27/1995,2,0.0,Atlanta Falcons,Cincinnati Bengals,7.0,249.0,2018.0
Olamide Zaccheaus,25.0,WR,17,13.0,199.0,68,Virginia,7/23/1997,3,6.0,Atlanta Falcons,,,,
