Quarter,Time,Down,ToGo,Location,GNB,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss and deferred, Bears to receive the opening kickoff.",,,1.0,2023,10
1.0,15:00,,,GNB 35,0.0,0.0,"Anders Carlson kicks off 64 yards, returned by Tyler Scott for 22 yards (tackle by Keisean Nixon). Penalty on DeMarquis Gates: Unnecessary Roughness / Defense, 11 yards (accepted)",0.0,-0.35,1.0,2023,10
1.0,14:54,1.0,10.0,CHI 12,0.0,0.0,Khalil Herbert left guard for no gain (tackle by Preston Smith),-0.35,-0.78,1.0,2023,10
1.0,14:23,2.0,10.0,CHI 12,0.0,0.0,Justin Fields pass complete short middle to Khalil Herbert for 19 yards (tackle by Jaire Alexander),-0.78,1.0,1.0,2023,10
1.0,13:41,1.0,10.0,CHI 31,0.0,0.0,Justin Fields pass complete short left to Tyler Scott for 5 yards (tackle by Rasul Douglas and Preston Smith),1.0,1.14,1.0,2023,10
1.0,12:55,2.0,5.0,CHI 36,0.0,0.0,Khalil Herbert right tackle for 4 yards (tackle by Kingsley Enagbare),1.14,0.96,1.0,2023,10
1.0,12:16,3.0,1.0,CHI 40,0.0,0.0,Cole Kmet up the middle for no gain (tackle by Preston Smith),0.96,-0.72,1.0,2023,10
1.0,11:39,4.0,1.0,CHI 40,0.0,0.0,Justin Fields up the middle for no gain (tackle by Preston Smith),-0.72,-2.92,1.0,2023,10
1.0,11:31,1.0,10.0,CHI 40,0.0,0.0,Aaron Jones left tackle for -1 yards (tackle by DeMarcus Walker),2.92,2.24,1.0,2023,10
1.0,10:57,2.0,11.0,CHI 41,0.0,0.0,Jayden Reed left end for -2 yards (tackle by Tyrique Stevenson),2.24,1.29,1.0,2023,10
1.0,10:11,,,,,,Timeout #1 by Green Bay Packers,,,1.0,2023,10
1.0,10:11,3.0,13.0,CHI 43,0.0,0.0,Jordan Love pass complete short right to Romeo Doubs for 13 yards (tackle by Kyler Gordon),1.29,3.58,1.0,2023,10
1.0,9:29,1.0,10.0,CHI 30,0.0,0.0,Aaron Jones right end for 7 yards (tackle by Jaquan Brisker and T.J. Edwards),3.58,3.98,1.0,2023,10
1.0,8:51,2.0,3.0,CHI 23,0.0,0.0,Aaron Jones left guard for 3 yards (tackle by Jack Sanborn),3.98,4.24,1.0,2023,10
1.0,8:18,1.0,10.0,CHI 20,0.0,0.0,Aaron Jones right tackle for 8 yards (tackle by Yannick Ngakoue),4.24,5.04,1.0,2023,10
1.0,7:34,2.0,2.0,CHI 12,0.0,0.0,Jordan Love pass incomplete short left intended for Dontayvion Wicks,5.04,4.34,1.0,2023,10
1.0,7:28,3.0,2.0,CHI 12,0.0,0.0,Aaron Jones right end for 7 yards (tackle by Jaquan Brisker),4.34,6.06,1.0,2023,10
1.0,6:56,1.0,5.0,CHI 5,0.0,0.0,AJ Dillon left end for -3 yards (tackle by Tremaine Edmunds),6.06,4.57,1.0,2023,10
1.0,6:16,2.0,8.0,CHI 8,0.0,0.0,Jordan Love pass incomplete short middle intended for Aaron Jones,4.57,3.58,1.0,2023,10
1.0,6:14,3.0,8.0,CHI 8,6.0,0.0,"Jordan Love pass complete short middle to Romeo Doubs for 8 yards, touchdown",3.58,7.0,1.0,2023,10
1.0,6:08,,,CHI 15,7.0,0.0,Anders Carlson kicks extra point good,0.0,0.0,1.0,2023,10
1.0,6:08,,,GNB 35,7.0,0.0,"Anders Carlson kicks off 64 yards, returned by Tyler Scott for 33 yards (tackle by Isaiah McDuffie)",0.0,1.2,1.0,2023,10
1.0,6:01,1.0,10.0,CHI 34,7.0,0.0,Justin Fields pass complete deep right to Darnell Mooney for 23 yards (tackle by Darnell Savage),1.2,2.72,1.0,2023,10
1.0,5:19,1.0,10.0,GNB 43,7.0,0.0,Khalil Herbert right end for -2 yards (tackle by Quay Walker and Justin Hollins),2.72,1.91,1.0,2023,10
1.0,4:38,2.0,12.0,GNB 45,7.0,0.0,Justin Fields pass complete short left to Khalil Herbert for 14 yards (tackle by Keisean Nixon),1.91,3.51,1.0,2023,10
1.0,4:01,1.0,10.0,GNB 31,7.0,0.0,"Penalty on Braxton Jones: False Start, 5 yards (accepted) (no play)",3.51,3.18,1.0,2023,10
