Quarter,Time,Down,ToGo,Location,DET,KAN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chiefs won the coin toss and deferred, Lions to receive the opening kickoff.",,,1.0,2023,1
1.0,15:00,,,KAN 35,0.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,1
1.0,15:00,1.0,10.0,DET 25,0.0,0.0,David Montgomery up the middle for 7 yards (tackle by Nick Bolton and George Karlaftis),0.61,1.01,1.0,2023,1
1.0,14:29,2.0,3.0,DET 32,0.0,0.0,Jared Goff pass incomplete short right,1.01,0.3,1.0,2023,1
1.0,14:25,3.0,3.0,DET 32,0.0,0.0,Jared Goff pass incomplete deep right intended for Josh Reynolds,0.3,-1.24,1.0,2023,1
1.0,14:19,4.0,3.0,DET 32,0.0,0.0,"Jack Fox punts 61 yards, returned by Richie James for 6 yards (tackle by Khalil Dorsey)",-1.24,0.32,1.0,2023,1
1.0,14:09,1.0,10.0,KAN 13,0.0,0.0,Clyde Edwards-Helaire right end for 5 yards (tackle by Aidan Hutchinson),-0.32,-0.14,1.0,2023,1
1.0,13:35,2.0,5.0,KAN 18,0.0,0.0,Clyde Edwards-Helaire right end for 3 yards (tackle by Alim McNeill and Alex Anzalone),-0.14,-0.47,1.0,2023,1
1.0,12:57,3.0,2.0,KAN 21,0.0,0.0,Patrick Mahomes pass complete short left to Jerick McKinnon for 10 yards (tackle by Malcolm Rodriguez),-0.47,1.0,1.0,2023,1
1.0,12:21,1.0,10.0,KAN 31,0.0,0.0,Patrick Mahomes pass complete short left to Noah Gray for 5 yards (tackle by Alex Anzalone),1.0,1.14,1.0,2023,1
1.0,11:44,2.0,5.0,KAN 36,0.0,0.0,Patrick Mahomes pass incomplete short right,1.14,0.43,1.0,2023,1
1.0,11:35,3.0,5.0,KAN 36,0.0,0.0,Patrick Mahomes scrambles up the middle for 2 yards (tackle by John Cominsky),0.43,-0.85,1.0,2023,1
1.0,10:58,4.0,3.0,KAN 38,0.0,0.0,"Tommy Townsend punts 53 yards, fair catch by Kalif Raymond at DET-9",-0.85,0.38,1.0,2023,1
1.0,10:50,1.0,10.0,DET 9,0.0,0.0,David Montgomery left tackle for 3 yards (tackle by George Karlaftis),-0.38,-0.56,1.0,2023,1
1.0,10:12,2.0,7.0,DET 12,0.0,0.0,Jared Goff pass incomplete short left intended for Marvin Jones (defended by Michael Danna),-0.56,-1.07,1.0,2023,1
1.0,10:06,3.0,7.0,DET 12,0.0,0.0,Jared Goff pass complete short left to Marvin Jones for 5 yards (tackle by Justin Reid),-1.07,-2.32,1.0,2023,1
1.0,9:22,4.0,2.0,DET 17,0.0,0.0,Jalen Reeves-Maybin up the middle for 3 yards (tackle by Bryan Cook),-2.32,0.28,1.0,2023,1
1.0,8:40,1.0,10.0,DET 20,0.0,0.0,Jahmyr Gibbs right guard for 1 yard (tackle by Trent McDuffie),0.28,-0.13,1.0,2023,1
1.0,8:27,2.0,9.0,DET 21,0.0,0.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 13 yards (tackle by Justin Reid),-0.13,1.2,1.0,2023,1
1.0,7:45,1.0,10.0,DET 34,0.0,0.0,Jared Goff pass complete short right to Josh Reynolds for 21 yards (tackle by Trent McDuffie),1.2,2.59,1.0,2023,1
1.0,7:06,1.0,10.0,KAN 45,0.0,0.0,David Montgomery up the middle for 4 yards (tackle by Leo Chenal),2.59,2.58,1.0,2023,1
1.0,6:23,2.0,6.0,KAN 41,0.0,0.0,Jahmyr Gibbs right end for 17 yards (tackle by Willie Gay),2.58,3.97,1.0,2023,1
1.0,5:38,1.0,10.0,KAN 24,0.0,0.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 5 yards (tackle by Leo Chenal and L'Jarius Sneed),3.97,4.12,1.0,2023,1
1.0,5:02,2.0,5.0,KAN 19,0.0,0.0,David Montgomery left tackle for 6 yards (tackle by Nick Bolton),4.12,4.71,1.0,2023,1
1.0,4:24,1.0,10.0,KAN 13,0.0,0.0,David Montgomery left end for 4 yards (tackle by Derrick Nnadi and Justin Reid),4.71,4.77,1.0,2023,1
1.0,3:41,2.0,6.0,KAN 9,0.0,0.0,Jahmyr Gibbs right guard for no gain (tackle by Bryan Cook and L'Jarius Sneed),4.77,3.88,1.0,2023,1
1.0,2:52,3.0,6.0,KAN 9,6.0,0.0,"Jared Goff pass complete short right to Amon-Ra St. Brown for 9 yards, touchdown",3.88,7.0,1.0,2023,1
1.0,2:46,,,KAN 15,7.0,0.0,Riley Patterson kicks extra point good,0.0,0.0,1.0,2023,1
1.0,2:46,,,DET 35,7.0,0.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,1.0,2023,1
1.0,2:46,1.0,10.0,KAN 25,7.0,0.0,Isiah Pacheco left end for 2 yards (tackle by Alex Anzalone),0.61,0.33,1.0,2023,1
