Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Tua Tagovailoa,MIA,0,0,0,0,0,1.0,2023,12
Raheem Mostert,MIA,2,2,13,0,8,1.0,2023,12
Erik Ezukanma,MIA,0,0,0,0,0,1.0,2023,12
Salvon Ahmed,MIA,3,0,0,0,0,1.0,2023,12
Tyreek Hill,MIA,15,11,215,2,47,1.0,2023,12
Jaylen Waddle,MIA,5,4,78,0,35,1.0,2023,12
Durham Smythe,MIA,7,3,44,0,18,1.0,2023,12
Braxton Berrios,MIA,5,3,42,0,16,1.0,2023,12
River Cracraft,MIA,5,3,40,1,24,1.0,2023,12
Alec Ingold,MIA,2,2,34,0,19,1.0,2023,12
Justin Herbert,LAC,0,0,0,0,0,1.0,2023,12
Austin Ekeler,LAC,5,4,47,0,35,1.0,2023,12
Joshua Kelley,LAC,1,0,0,0,0,1.0,2023,12
Keenan Allen,LAC,9,6,76,0,36,1.0,2023,12
Gerald Everett,LAC,3,2,21,0,11,1.0,2023,12
Mike Williams,LAC,5,4,45,0,24,1.0,2023,12
Donald Parham,LAC,3,3,22,1,16,1.0,2023,12
Quentin Johnston,LAC,3,2,9,0,11,1.0,2023,12
Derius Davis,LAC,1,1,5,0,5,1.0,2023,12
Josh Palmer,LAC,1,1,4,0,4,1.0,2023,12
