Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Gardner Minshew II,IND,0,0,0,0,0,10.0,2023,138
Jonathan Taylor,IND,1,1,6,0,6,10.0,2023,138
Zack Moss,IND,0,0,0,0,0,10.0,2023,138
Michael Pittman Jr.,IND,12,8,84,0,14,10.0,2023,138
Josh Downs,IND,3,2,40,0,28,10.0,2023,138
Isaiah McKenzie,IND,4,4,31,0,30,10.0,2023,138
Alec Pierce,IND,1,1,21,0,21,10.0,2023,138
Will Mallory,IND,2,1,7,0,7,10.0,2023,138
Kylen Granson,IND,2,1,5,0,5,10.0,2023,138
Mo Alie-Cox,IND,1,0,0,0,0,10.0,2023,138
Mac Jones,NWE,0,0,0,0,0,10.0,2023,138
Bailey Zappe,NWE,0,0,0,0,0,10.0,2023,138
Rhamondre Stevenson,NWE,5,3,14,0,7,10.0,2023,138
Ezekiel Elliott,NWE,2,2,34,0,19,10.0,2023,138
Demario Douglas,NWE,9,6,84,0,30,10.0,2023,138
Mike Gesicki,NWE,3,2,22,0,11,10.0,2023,138
Hunter Henry,NWE,5,3,21,0,11,10.0,2023,138
Kayshon Boutte,NWE,1,1,11,0,11,10.0,2023,138
JuJu Smith-Schuster,NWE,1,1,9,0,9,10.0,2023,138
