Player,Pos,home_team,team,week,year,game_id
Sam Howell,QB,0,Commanders,10.0,2023,148
Brian Robinson Jr.,RB,0,Commanders,10.0,2023,148
Jahan Dotson,WR,0,Commanders,10.0,2023,148
Curtis Samuel,WR,0,Commanders,10.0,2023,148
Terry McLaurin,WR,0,Commanders,10.0,2023,148
Logan Thomas,TE,0,Commanders,10.0,2023,148
Andrew Wylie,OL,0,Commanders,10.0,2023,148
Samuel Cosmi,T,0,Commanders,10.0,2023,148
Charles Leno Jr.,T,0,Commanders,10.0,2023,148
Chris Paul,G,0,Commanders,10.0,2023,148
Tyler Larsen,C,0,Commanders,10.0,2023,148
Casey Toohill,DE,0,Commanders,10.0,2023,148
James Smith-Williams,DE,0,Commanders,10.0,2023,148
Jonathan Allen,DT,0,Commanders,10.0,2023,148
Daron Payne,DT,0,Commanders,10.0,2023,148
David Mayo,LB,0,Commanders,10.0,2023,148
Jamin Davis,LB,0,Commanders,10.0,2023,148
Kendall Fuller,CB,0,Commanders,10.0,2023,148
Emmanuel Forbes,CB,0,Commanders,10.0,2023,148
Benjamin St-Juste,CB,0,Commanders,10.0,2023,148
Kamren Curl,S,0,Commanders,10.0,2023,148
Percy Butler,S,0,Commanders,10.0,2023,148
