Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,week,year,game_id
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,,,
Chandon Sullivan,PIT,1,0,0,0,2,0.0,2,1,1,0,0,0,0,0,0,11.0,2023,153
T.J. Watt,PIT,0,0,0,0,0,1.0,6,4,2,2,3,0,0,0,0,11.0,2023,153
Elandon Roberts,PIT,0,0,0,0,0,0.0,15,11,4,2,0,0,0,0,0,11.0,2023,153
Alex Highsmith,PIT,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0,11.0,2023,153
Joey Porter Jr.,PIT,0,0,0,0,1,0.0,6,5,1,0,0,0,0,0,0,11.0,2023,153
Trenton Thompson,PIT,0,0,0,0,2,0.0,6,5,1,0,0,0,0,0,0,11.0,2023,153
Cameron Heyward,PIT,0,0,0,0,0,0.0,5,5,0,1,0,0,0,0,0,11.0,2023,153
Damontae Kazee,PIT,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,11.0,2023,153
Keeanu Benton,PIT,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,11.0,2023,153
Patrick Peterson,PIT,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0,11.0,2023,153
Elijah Riley,PIT,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0,11.0,2023,153
Armon Watts,PIT,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0,11.0,2023,153
Nick Herbig,PIT,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,11.0,2023,153
Miles Killebrew,PIT,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,11.0,2023,153
Mykal Walker,PIT,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,11.0,2023,153
Isaiahh Loudermilk,PIT,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,11.0,2023,153
Larry Ogunjobi,PIT,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0,11.0,2023,153
Mark Robinson,PIT,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,11.0,2023,153
Rodney Williams,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,11.0,2023,153
Myles Garrett,CLE,0,0,0,0,0,2.0,2,2,0,2,3,0,0,0,0,11.0,2023,153
Ogbonnia Okoronkwo,CLE,0,0,0,0,0,1.0,5,4,1,4,1,0,0,0,0,11.0,2023,153
Grant Delpit,CLE,0,0,0,0,0,0.0,7,6,1,1,0,0,0,0,0,11.0,2023,153
Jeremiah Owusu-Koramoah,CLE,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0,11.0,2023,153
Martin Emerson,CLE,0,0,0,0,0,0.0,5,1,4,0,0,0,0,0,0,11.0,2023,153
Rodney McLeod,CLE,0,0,0,0,0,0.0,5,1,4,0,0,0,0,0,0,11.0,2023,153
Sione Takitaki,CLE,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0,11.0,2023,153
Ronnie Hickman,CLE,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,11.0,2023,153
Greg Newsome II,CLE,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0,11.0,2023,153
Denzel Ward,CLE,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0,11.0,2023,153
Za'Darius Smith,CLE,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0,11.0,2023,153
Dalvin Tomlinson,CLE,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,11.0,2023,153
Jordan Elliott,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,11.0,2023,153
Tony Fields,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,11.0,2023,153
Mike Ford,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,11.0,2023,153
Charley Hughlett,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,11.0,2023,153
Maurice Hurst Jr.,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,11.0,2023,153
Alex Wright,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,11.0,2023,153
Shelby Harris,CLE,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,11.0,2023,153
