Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Tommy DeVito,NYG,0,0,0,0,0,11.0,2023,159
Saquon Barkley,NYG,5,4,57,2,24,11.0,2023,159
Wan'Dale Robinson,NYG,4,3,35,0,21,11.0,2023,159
Darius Slayton,NYG,5,4,82,1,40,11.0,2023,159
Daniel Bellinger,NYG,3,3,38,0,26,11.0,2023,159
Isaiah Hodgins,NYG,3,2,22,0,16,11.0,2023,159
Jalin Hyatt,NYG,2,1,7,0,7,11.0,2023,159
Sterling Shepard,NYG,3,1,5,0,5,11.0,2023,159
Matt Breida,NYG,1,0,0,0,0,11.0,2023,159
Sam Howell,WAS,0,0,0,0,0,11.0,2023,159
Brian Robinson Jr.,WAS,9,7,59,0,21,11.0,2023,159
Chris Rodriguez,WAS,1,1,5,0,5,11.0,2023,159
Derrick Gore,WAS,0,0,0,0,0,11.0,2023,159
Logan Thomas,WAS,8,5,58,0,29,11.0,2023,159
Terry McLaurin,WAS,7,5,43,0,11,11.0,2023,159
Jahan Dotson,WAS,4,3,23,1,12,11.0,2023,159
Byron Pringle,WAS,3,3,22,0,14,11.0,2023,159
John Bates,WAS,2,2,15,0,8,11.0,2023,159
Jamison Crowder,WAS,2,2,12,0,7,11.0,2023,159
Dyami Brown,WAS,3,1,7,0,7,11.0,2023,159
Cole Turner,WAS,1,1,7,0,7,11.0,2023,159
Curtis Samuel,WAS,2,1,5,0,5,11.0,2023,159
