#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
2,1,13:31,NYJ 25,4,1:30,7,Punt,0,Jets,11.0,2023,162
3,1,5:56,NYJ 34,5,3:38,15,Punt,0,Jets,11.0,2023,162
4,2,11:26,NYJ 25,3,1:31,-7,Punt,0,Jets,11.0,2023,162
5,2,6:02,NYJ 9,2,0:43,13,Interception,0,Jets,11.0,2023,162
6,2,3:03,NYJ 16,11,2:18,84,Touchdown,0,Jets,11.0,2023,162
7,3,10:34,NYJ 25,5,3:10,16,Punt,0,Jets,11.0,2023,162
8,3,6:29,NYJ 25,5,3:12,10,Punt,0,Jets,11.0,2023,162
9,3,2:17,NYJ 34,6,3:08,29,Fumble,0,Jets,11.0,2023,162
10,4,10:39,NYJ 24,3,1:06,-10,Punt,0,Jets,11.0,2023,162
11,4,5:16,NYJ 21,10,2:46,30,Interception,0,Jets,11.0,2023,162
