Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Justin Fields,CHI,18,104,0,29,11.0,2023,157
Khalil Herbert,CHI,16,35,0,9,11.0,2023,157
Roschon Johnson,CHI,6,30,0,14,11.0,2023,157
D'Onta Foreman,CHI,6,14,1,13,11.0,2023,157
D.J. Moore,CHI,0,0,0,0,11.0,2023,157
Darnell Mooney,CHI,0,0,0,0,11.0,2023,157
Cole Kmet,CHI,0,0,0,0,11.0,2023,157
Equanimeous St. Brown,CHI,0,0,0,0,11.0,2023,157
Tyler Scott,CHI,0,0,0,0,11.0,2023,157
Marcedes Lewis,CHI,0,0,0,0,11.0,2023,157
Jared Goff,DET,2,3,0,4,11.0,2023,157
David Montgomery,DET,12,76,1,20,11.0,2023,157
Jahmyr Gibbs,DET,8,36,1,14,11.0,2023,157
Amon-Ra St. Brown,DET,0,0,0,0,11.0,2023,157
Jameson Williams,DET,0,0,0,0,11.0,2023,157
Sam LaPorta,DET,0,0,0,0,11.0,2023,157
Josh Reynolds,DET,0,0,0,0,11.0,2023,157
Kalif Raymond,DET,0,0,0,0,11.0,2023,157
Donovan Peoples-Jones,DET,0,0,0,0,11.0,2023,157
