Player,Pos,home_team,team,week,year,game_id
Aidan O'Connell,QB,0,Raiders,11.0,2023,156
Josh Jacobs,RB,0,Raiders,11.0,2023,156
Davante Adams,WR,0,Raiders,11.0,2023,156
Hunter Renfrow,WR,0,Raiders,11.0,2023,156
Jakobi Meyers,WR,0,Raiders,11.0,2023,156
Michael Mayer,TE,0,Raiders,11.0,2023,156
Jermaine Eluemunor,OL,0,Raiders,11.0,2023,156
Thayer Munford,T,0,Raiders,11.0,2023,156
Greg Van Roten,G,0,Raiders,11.0,2023,156
Dylan Parham,G,0,Raiders,11.0,2023,156
Andre James,C,0,Raiders,11.0,2023,156
Malcolm Koonce,DE,0,Raiders,11.0,2023,156
Maxx Crosby,DE,0,Raiders,11.0,2023,156
John Jenkins,DT,0,Raiders,11.0,2023,156
Bilal Nichols,DT,0,Raiders,11.0,2023,156
Divine Deablo,LB,0,Raiders,11.0,2023,156
Robert Spillane,LB,0,Raiders,11.0,2023,156
Nate Hobbs,CB,0,Raiders,11.0,2023,156
Tyler Hall,CB,0,Raiders,11.0,2023,156
Marcus Peters,CB,0,Raiders,11.0,2023,156
Tre'von Moehrig,S,0,Raiders,11.0,2023,156
Marcus Epps,S,0,Raiders,11.0,2023,156
