Unnamed: 0,LVR,MIA,week,year,game_id
First Downs,12,21,11.0,2023,156
Rush-Yds-TDs,16-36-0,28-99-0,11.0,2023,156
Cmp-Att-Yd-TD-INT,24-41-271-1-3,28-39-325-2-1,11.0,2023,156
Sacked-Yards,2-11,1-2,11.0,2023,156
Net Pass Yards,260,323,11.0,2023,156
Total Yards,296,422,11.0,2023,156
Fumbles-Lost,0-0,2-2,11.0,2023,156
Turnovers,3,3,11.0,2023,156
Penalties-Yards,5-41,5-44,11.0,2023,156
Third Down Conv.,4-14,3-11,11.0,2023,156
Fourth Down Conv.,0-2,0-1,11.0,2023,156
Time of Possession,27:45,32:15,11.0,2023,156
