Unnamed: 0,NYG,WAS,week,year,game_id
First Downs,13,28,11.0,2023,159
Rush-Yds-TDs,19-91-0,28-174-1,11.0,2023,159
Cmp-Att-Yd-TD-INT,18-26-246-3-0,31-45-256-1-3,11.0,2023,159
Sacked-Yards,9-45,4-26,11.0,2023,159
Net Pass Yards,201,230,11.0,2023,159
Total Yards,292,404,11.0,2023,159
Fumbles-Lost,0-0,4-3,11.0,2023,159
Turnovers,0,6,11.0,2023,159
Penalties-Yards,5-33,1-5,11.0,2023,159
Third Down Conv.,5-14,5-13,11.0,2023,159
Fourth Down Conv.,0-1,1-1,11.0,2023,159
Time of Possession,25:09,34:51,11.0,2023,159
