Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Matthew Stafford,LAR,1,2,0,2,12.0,2023,176
Kyren Williams,LAR,16,143,0,56,12.0,2023,176
Royce Freeman,LAR,13,77,1,23,12.0,2023,176
Zach Evans,LAR,3,6,0,5,12.0,2023,176
Tutu Atwell,LAR,0,0,0,0,12.0,2023,176
Tyler Higbee,LAR,0,0,0,0,12.0,2023,176
Puka Nacua,LAR,0,0,0,0,12.0,2023,176
Cooper Kupp,LAR,0,0,0,0,12.0,2023,176
Demarcus Robinson,LAR,0,0,0,0,12.0,2023,176
Davis Allen,LAR,0,0,0,0,12.0,2023,176
Ben Skowronek,LAR,0,0,0,0,12.0,2023,176
Kyler Murray,ARI,1,2,1,2,12.0,2023,176
James Conner,ARI,6,27,0,14,12.0,2023,176
Michael Carter,ARI,4,19,0,7,12.0,2023,176
Emari Demercado,ARI,3,15,0,9,12.0,2023,176
Blake Gillikin,ARI,1,10,0,10,12.0,2023,176
Marquise Brown,ARI,0,0,0,0,12.0,2023,176
Trey McBride,ARI,0,0,0,0,12.0,2023,176
Rondale Moore,ARI,0,0,0,0,12.0,2023,176
Greg Dortch,ARI,0,0,0,0,12.0,2023,176
Elijah Higgins,ARI,0,0,0,0,12.0,2023,176
