Player,Pos,Off. Num,Off. Pct,Def. Num,Def. Pct,ST Num,ST Pct,home_team,team,week,year,game_id
Steve Avila,G,67,100%,0,0%,7,25%,0,Rams,12.0,2023,176
Alaric Jackson,T,67,100%,0,0%,7,25%,0,Rams,12.0,2023,176
Kevin Dotson,G,64,96%,0,0%,7,25%,0,Rams,12.0,2023,176
Rob Havenstein,T,64,96%,0,0%,7,25%,0,Rams,12.0,2023,176
Matthew Stafford,QB,64,96%,0,0%,0,0%,0,Rams,12.0,2023,176
Coleman Shelton,C,64,96%,0,0%,0,0%,0,Rams,12.0,2023,176
Cooper Kupp,WR,59,88%,0,0%,1,4%,0,Rams,12.0,2023,176
Puka Nacua,WR,54,81%,0,0%,1,4%,0,Rams,12.0,2023,176
Tyler Higbee,TE,50,75%,0,0%,1,4%,0,Rams,12.0,2023,176
Kyren Williams,RB,41,61%,0,0%,0,0%,0,Rams,12.0,2023,176
Demarcus Robinson,WR,40,60%,0,0%,15,54%,0,Rams,12.0,2023,176
Tutu Atwell,WR,24,36%,0,0%,0,0%,0,Rams,12.0,2023,176
Royce Freeman,RB,23,34%,0,0%,12,43%,0,Rams,12.0,2023,176
Hunter Long,TE,15,22%,0,0%,6,21%,0,Rams,12.0,2023,176
Ben Skowronek,WR,14,21%,0,0%,21,75%,0,Rams,12.0,2023,176
Davis Allen,TE,9,13%,0,0%,4,14%,0,Rams,12.0,2023,176
Austin Trammell,WR,3,4%,0,0%,9,32%,0,Rams,12.0,2023,176
Tremayne Anchrum,G,3,4%,0,0%,7,25%,0,Rams,12.0,2023,176
Joseph Noteboom,T,3,4%,0,0%,7,25%,0,Rams,12.0,2023,176
Brian Allen,C,3,4%,0,0%,0,0%,0,Rams,12.0,2023,176
Carson Wentz,QB,3,4%,0,0%,0,0%,0,Rams,12.0,2023,176
Zach Evans,RB,3,4%,0,0%,0,0%,0,Rams,12.0,2023,176
Derion Kendrick,CB,0,0%,71,100%,5,18%,0,Rams,12.0,2023,176
John Johnson,SS,0,0%,62,87%,5,18%,0,Rams,12.0,2023,176
Byron Young,LB,0,0%,53,75%,0,0%,0,Rams,12.0,2023,176
Michael Hoecht,LB,0,0%,51,72%,12,43%,0,Rams,12.0,2023,176
Ahkello Witherspoon,CB,0,0%,47,66%,1,4%,0,Rams,12.0,2023,176
Jordan Fuller,FS,0,0%,46,65%,4,14%,0,Rams,12.0,2023,176
Ernest Jones,LB,0,0%,45,63%,3,11%,0,Rams,12.0,2023,176
Russ Yeast,SS,0,0%,45,63%,0,0%,0,Rams,12.0,2023,176
Aaron Donald,DT,0,0%,42,59%,0,0%,0,Rams,12.0,2023,176
Christian Rozeboom,LB,0,0%,35,49%,21,75%,0,Rams,12.0,2023,176
Cobie Durant,CB,0,0%,32,45%,0,0%,0,Rams,12.0,2023,176
Kobie Turner,NT,0,0%,31,44%,3,11%,0,Rams,12.0,2023,176
Larrell Murchison,DT,0,0%,30,42%,0,0%,0,Rams,12.0,2023,176
Jonah Williams,DE,0,0%,27,38%,10,36%,0,Rams,12.0,2023,176
Jason Taylor,FS,0,0%,25,35%,16,57%,0,Rams,12.0,2023,176
Tre'Vius Tomlinson,CB,0,0%,24,34%,21,75%,0,Rams,12.0,2023,176
Ochaun Mathis,LB,0,0%,24,34%,0,0%,0,Rams,12.0,2023,176
Troy Reeder,LB,0,0%,23,32%,17,61%,0,Rams,12.0,2023,176
Desjuan Johnson,DT,0,0%,22,31%,0,0%,0,Rams,12.0,2023,176
Bobby Brown,NT,0,0%,19,27%,3,11%,0,Rams,12.0,2023,176
Keir Thomas,LB,0,0%,15,21%,14,50%,0,Rams,12.0,2023,176
Jake Hummel,LB,0,0%,12,17%,21,75%,0,Rams,12.0,2023,176
Ethan Evans,P,0,0%,0,0%,16,57%,0,Rams,12.0,2023,176
Alex Ward,LS,0,0%,0,0%,9,32%,0,Rams,12.0,2023,176
Duke Shelley,CB,0,0%,0,0%,8,29%,0,Rams,12.0,2023,176
Lucas Havrisik,K,0,0%,0,0%,7,25%,0,Rams,12.0,2023,176
