Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Matthew Stafford,LAR,0,0,12.0,2023,176
Kyren Williams,LAR,0,0,12.0,2023,176
Royce Freeman,LAR,0,0,12.0,2023,176
Zach Evans,LAR,0,0,12.0,2023,176
Tutu Atwell,LAR,0,0,12.0,2023,176
Tyler Higbee,LAR,0,0,12.0,2023,176
Puka Nacua,LAR,0,0,12.0,2023,176
Cooper Kupp,LAR,0,0,12.0,2023,176
Demarcus Robinson,LAR,0,0,12.0,2023,176
Davis Allen,LAR,0,0,12.0,2023,176
Ben Skowronek,LAR,0,0,12.0,2023,176
Kyler Murray,ARI,0,0,12.0,2023,176
James Conner,ARI,0,0,12.0,2023,176
Michael Carter,ARI,0,0,12.0,2023,176
Emari Demercado,ARI,0,0,12.0,2023,176
Blake Gillikin,ARI,0,0,12.0,2023,176
Marquise Brown,ARI,0,0,12.0,2023,176
Trey McBride,ARI,0,0,12.0,2023,176
Rondale Moore,ARI,0,0,12.0,2023,176
Greg Dortch,ARI,0,0,12.0,2023,176
Elijah Higgins,ARI,0,0,12.0,2023,176
