Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Baker Mayfield,TAM,0,0,0,0,0,12.0,2023,172
Kyle Trask,TAM,0,0,0,0,0,12.0,2023,172
Rachaad White,TAM,2,2,10,0,6,12.0,2023,172
Chase Edmonds,TAM,1,0,0,0,0,12.0,2023,172
Mike Evans,TAM,9,6,70,2,23,12.0,2023,172
Chris Godwin,TAM,7,3,45,0,21,12.0,2023,172
Cade Otton,TAM,4,4,45,0,24,12.0,2023,172
Trey Palmer,TAM,5,4,17,0,7,12.0,2023,172
Payne Durham,TAM,1,1,12,0,12,12.0,2023,172
David Moore,TAM,1,0,0,0,0,12.0,2023,172
Gardner Minshew II,IND,0,0,0,0,0,12.0,2023,172
Jonathan Taylor,IND,0,0,0,0,0,12.0,2023,172
Zack Moss,IND,3,2,15,0,9,12.0,2023,172
Isaiah McKenzie,IND,0,0,0,0,0,12.0,2023,172
Michael Pittman Jr.,IND,13,10,107,0,24,12.0,2023,172
Josh Downs,IND,13,5,43,0,13,12.0,2023,172
Mo Alie-Cox,IND,1,1,30,0,30,12.0,2023,172
Will Mallory,IND,3,2,29,0,17,12.0,2023,172
Alec Pierce,IND,6,4,27,0,9,12.0,2023,172
Kylen Granson,IND,1,0,0,0,0,12.0,2023,172
