Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,week,year,game_id
Riq Woolen,SEA,0,9,7,77.8%,45.0,6.4,5.0,0.0,87.5,4.9,29.0,16.0,0,0,0,0.0,0,8,1,11.1%,13.0,2023,181
Jamal Adams,SEA,0,6,5,83.3%,46.0,9.2,7.7,1.0,138.2,6.8,37.0,9.0,4,0,1,0.0,1,10,3,23.1%,13.0,2023,181
Devon Witherspoon,SEA,0,8,4,50.0%,65.0,16.3,8.1,1.0,117.2,9.1,45.0,20.0,3,0,0,0.0,0,8,1,11.1%,13.0,2023,181
Devin Bush Jr.,SEA,0,4,4,100.0%,28.0,7.0,7.0,0.0,95.8,0.8,3.0,25.0,0,0,0,0.0,0,2,2,50.0%,13.0,2023,181
Bobby Wagner,SEA,0,4,3,75.0%,22.0,7.3,5.5,1.0,127.1,0.3,9.0,13.0,1,0,0,0.0,0,14,0,0.0%,13.0,2023,181
Tre Brown,SEA,0,4,2,50.0%,30.0,15.0,7.5,0.0,75.0,10.5,21.0,9.0,0,0,0,0.0,0,0,1,100.0%,13.0,2023,181
Jarran Reed,SEA,0,1,1,100.0%,12.0,12.0,12.0,0.0,116.7,-4.0,-4.0,16.0,0,0,0,1.0,1,7,4,36.4%,13.0,2023,181
Dre'Mont Jones,SEA,0,1,1,100.0%,15.0,15.0,15.0,0.0,118.7,7.0,7.0,8.0,0,0,0,0.0,0,4,2,33.3%,13.0,2023,181
Julian Love,SEA,0,1,1,100.0%,12.0,12.0,12.0,0.0,116.7,7.0,7.0,5.0,0,0,0,0.0,0,4,0,0.0%,13.0,2023,181
Quandre Diggs,SEA,0,1,1,100.0%,17.0,17.0,17.0,0.0,118.7,17.0,17.0,0.0,0,0,0,0.0,0,6,3,33.3%,13.0,2023,181
Frank Clark,SEA,0,1,1,100.0%,7.0,7.0,7.0,0.0,95.8,-2.0,-2.0,9.0,0,0,0,0.0,0,1,0,0.0%,13.0,2023,181
Darrell Taylor,SEA,0,0,0,,,,,,,,,,0,1,0,1.0,2,2,1,33.3%,13.0,2023,181
Leonard Williams,SEA,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,0,0.0%,13.0,2023,181
Jordyn Brooks,SEA,0,0,0,,,,,,,,,,2,0,0,1.0,1,1,0,0.0%,13.0,2023,181
Boye Mafe,SEA,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,0,0.0%,13.0,2023,181
DaRon Bland,DAL,1,13,11,84.6%,172.0,15.6,13.2,3.0,126.3,11.0,89.0,83.0,0,0,0,0.0,0,6,1,14.3%,13.0,2023,181
Jourdan Lewis,DAL,0,9,5,55.6%,43.0,8.6,4.8,0.0,68.3,4.7,21.0,22.0,0,0,0,0.0,0,3,0,0.0%,13.0,2023,181
Damone Clark,DAL,0,2,2,100.0%,49.0,24.5,24.5,0.0,118.7,2.0,4.0,45.0,8,1,0,0.0,1,4,0,0.0%,13.0,2023,181
Markquese Bell,DAL,0,3,2,66.7%,7.0,3.5,2.3,0.0,70.1,2.3,-2.0,9.0,3,0,0,0.0,0,8,1,11.1%,13.0,2023,181
Jayron Kearse,DAL,0,3,2,66.7%,35.0,17.5,11.7,0.0,106.2,7.7,28.0,7.0,4,0,0,0.0,0,3,0,0.0%,13.0,2023,181
Dorance Armstrong Jr.,DAL,0,1,1,100.0%,9.0,9.0,9.0,0.0,104.2,-2.0,-2.0,11.0,0,1,0,0.0,1,3,0,0.0%,13.0,2023,181
Osa Odighizuwa,DAL,0,1,1,100.0%,,,0.0,,79.2,-3.0,,,0,0,1,0.0,1,6,0,0.0%,13.0,2023,181
Malik Hooker,DAL,0,2,1,50.0%,6.0,6.0,3.0,0.0,56.2,5.5,-1.0,7.0,0,0,0,0.0,0,1,0,0.0%,13.0,2023,181
Stephon Gilmore,DAL,0,3,1,33.3%,13.0,13.0,4.3,0.0,47.9,10.3,8.0,5.0,0,0,0,0.0,0,1,0,0.0%,13.0,2023,181
Micah Parsons,DAL,0,0,0,,,,,,,,,,2,1,2,0.0,3,2,0,0.0%,13.0,2023,181
DeMarcus Lawrence,DAL,0,2,0,0.0%,,,0.0,,39.6,-8.5,,,0,3,0,0.0,3,6,0,0.0%,13.0,2023,181
Johnathan Hankins,DAL,0,0,0,,,,,,,,,,0,0,0,1.0,1,4,0,0.0%,13.0,2023,181
Dante Fowler,DAL,0,0,0,,,,,,,,,,0,1,0,0.0,1,0,0,,13.0,2023,181
Sam Williams,DAL,0,0,0,,,,,,,,,,2,0,0,0.0,0,1,0,0.0%,13.0,2023,181
Donovan Wilson,DAL,0,0,0,,,,,,,,,,3,0,0,0.0,0,6,1,14.3%,13.0,2023,181
Neville Gallimore,DAL,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%,13.0,2023,181
