Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,week,year,game_id
Jeremiah Owusu-Koramoah,CLE,0,7,5,71.4%,42.0,8.4,6.0,0.0,86.6,2.9,18.0,24.0,4,1,0,0.0,1,6,1,14.3%,13.0,2023,190
Juan Thornhill,CLE,0,4,4,100.0%,48.0,12.0,12.0,1.0,156.2,9.0,36.0,12.0,1,0,0,0.0,0,7,0,0.0%,13.0,2023,190
Kahlef Hailassie,CLE,0,6,4,66.7%,92.0,23.0,15.3,1.0,149.3,10.0,36.0,56.0,0,0,0,0.0,0,5,0,0.0%,13.0,2023,190
Mike Ford,CLE,0,6,3,50.0%,30.0,10.0,5.0,1.0,104.2,9.0,27.0,3.0,0,0,0,0.0,0,6,0,0.0%,13.0,2023,190
Anthony Walker,CLE,0,3,2,66.7%,35.0,17.5,11.7,0.0,106.2,12.7,8.0,27.0,1,0,0,0.0,0,3,0,0.0%,13.0,2023,190
Martin Emerson,CLE,0,4,2,50.0%,9.0,4.5,2.3,0.0,56.2,7.8,1.0,8.0,0,0,0,0.0,0,7,2,22.2%,13.0,2023,190
Grant Delpit,CLE,0,1,1,100.0%,9.0,9.0,9.0,0.0,104.2,1.0,1.0,8.0,3,0,1,0.0,1,4,0,0.0%,13.0,2023,190
Greg Newsome II,CLE,0,3,1,33.3%,14.0,14.0,4.7,0.0,49.3,10.7,4.0,10.0,1,1,0,0.0,1,3,0,0.0%,13.0,2023,190
Maurice Hurst Jr.,CLE,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,,13.0,2023,190
Za'Darius Smith,CLE,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%,13.0,2023,190
Myles Garrett,CLE,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%,13.0,2023,190
Ernest Jones,LAR,0,5,5,100.0%,35.0,7.0,7.0,1.0,135.4,0.2,1.0,34.0,1,2,0,0.0,2,15,0,0.0%,13.0,2023,190
Derion Kendrick,LAR,0,6,4,66.7%,55.0,13.8,9.2,0.0,95.8,18.5,55.0,0.0,0,0,0,0.0,0,4,0,0.0%,13.0,2023,190
Ahkello Witherspoon,LAR,0,11,4,36.4%,60.0,15.0,5.5,1.0,85.4,15.1,44.0,16.0,0,0,0,0.0,0,4,0,0.0%,13.0,2023,190
Jordan Fuller,LAR,0,4,3,75.0%,37.0,12.3,9.3,0.0,103.1,10.8,33.0,4.0,0,0,0,0.0,0,6,0,0.0%,13.0,2023,190
Troy Reeder,LAR,0,3,2,66.7%,27.0,13.5,9.0,0.0,95.1,6.7,22.0,5.0,0,0,0,0.0,0,2,0,0.0%,13.0,2023,190
Christian Rozeboom,LAR,0,2,2,100.0%,12.0,6.0,6.0,0.0,91.7,5.0,10.0,2.0,1,0,0,0.0,0,2,0,0.0%,13.0,2023,190
Michael Hoecht,LAR,0,3,1,33.3%,8.0,8.0,2.7,0.0,42.4,10.3,1.0,7.0,0,2,0,0.0,2,0,0,,13.0,2023,190
John Johnson,LAR,1,4,1,25.0%,13.0,13.0,3.3,0.0,1.0,26.8,13.0,0.0,0,0,0,0.0,0,6,0,0.0%,13.0,2023,190
Russ Yeast,LAR,0,3,1,33.3%,7.0,7.0,2.3,0.0,42.4,6.0,5.0,2.0,0,0,0,0.0,0,1,0,0.0%,13.0,2023,190
Aaron Donald,LAR,0,0,0,,,,,,,,,,0,1,2,0.5,4,5,0,0.0%,13.0,2023,190
Kobie Turner,LAR,0,0,0,,,,,,,,,,0,1,0,1.5,3,5,0,0.0%,13.0,2023,190
Jonah Williams,LAR,0,0,0,,,,,,,,,,0,1,0,0.0,1,3,0,0.0%,13.0,2023,190
Byron Young,LAR,0,0,0,,,,,,,,,,1,1,0,0.0,1,5,0,0.0%,13.0,2023,190
Cobie Durant,LAR,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,1,100.0%,13.0,2023,190
