Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Justin Herbert,LAC,22,37,212,0,0,0,0,27,75.5,13.0,2023,187
Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,13.0,2023,187
Joshua Kelley,LAC,0,0,0,0,0,0,0,0,,13.0,2023,187
Keenan Allen,LAC,0,0,0,0,0,0,0,0,,13.0,2023,187
Quentin Johnston,LAC,0,0,0,0,0,0,0,0,,13.0,2023,187
Gerald Everett,LAC,0,0,0,0,0,0,0,0,,13.0,2023,187
Alex Erickson,LAC,0,0,0,0,0,0,0,0,,13.0,2023,187
Donald Parham,LAC,0,0,0,0,0,0,0,0,,13.0,2023,187
Jalen Guyton,LAC,0,0,0,0,0,0,0,0,,13.0,2023,187
Stone Smartt,LAC,0,0,0,0,0,0,0,0,,13.0,2023,187
Bailey Zappe,NWE,13,25,141,0,0,5,32,27,68.9,13.0,2023,187
Ezekiel Elliott,NWE,0,0,0,0,0,0,0,0,,13.0,2023,187
Rhamondre Stevenson,NWE,0,0,0,0,0,0,0,0,,13.0,2023,187
Tyquan Thornton,NWE,0,0,0,0,0,0,0,0,,13.0,2023,187
Ty Montgomery,NWE,0,0,0,0,0,0,0,0,,13.0,2023,187
DeVante Parker,NWE,0,0,0,0,0,0,0,0,,13.0,2023,187
Hunter Henry,NWE,0,0,0,0,0,0,0,0,,13.0,2023,187
Jalen Reagor,NWE,0,0,0,0,0,0,0,0,,13.0,2023,187
JuJu Smith-Schuster,NWE,0,0,0,0,0,0,0,0,,13.0,2023,187
