Player,Pos,home_team,team,week,year,game_id
Jalen Hurts,QB,1,Eagles,13.0,2023,191
D'Andre Swift,RB,1,Eagles,13.0,2023,191
Quez Watkins,WR,1,Eagles,13.0,2023,191
A.J. Brown,WR,1,Eagles,13.0,2023,191
DeVonta Smith,WR,1,Eagles,13.0,2023,191
Jack Stoll,TE,1,Eagles,13.0,2023,191
Cam Jurgens,OL,1,Eagles,13.0,2023,191
Lane Johnson,T,1,Eagles,13.0,2023,191
Jordan Mailata,T,1,Eagles,13.0,2023,191
Landon Dickerson,G,1,Eagles,13.0,2023,191
Jason Kelce,C,1,Eagles,13.0,2023,191
Josh Sweat,DE,1,Eagles,13.0,2023,191
Milton Williams,DT,1,Eagles,13.0,2023,191
Jordan Davis,DT,1,Eagles,13.0,2023,191
Fletcher Cox,DT,1,Eagles,13.0,2023,191
Haason Reddick,OLB,1,Eagles,13.0,2023,191
Nicholas Morrow,LB,1,Eagles,13.0,2023,191
Christian Elliss,LB,1,Eagles,13.0,2023,191
Darius Slay,CB,1,Eagles,13.0,2023,191
James Bradberry,CB,1,Eagles,13.0,2023,191
Kevin Byard,S,1,Eagles,13.0,2023,191
Reed Blankenship,S,1,Eagles,13.0,2023,191
