Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Bryce Young,CAR,15,31,178,0,1,4,29,31,52.9,13.0,2023,189
Chuba Hubbard,CAR,0,0,0,0,0,0,0,0,,13.0,2023,189
Miles Sanders,CAR,0,0,0,0,0,0,0,0,,13.0,2023,189
Raheem Blackshear,CAR,0,0,0,0,0,0,0,0,,13.0,2023,189
Jonathan Mingo,CAR,0,0,0,0,0,0,0,0,,13.0,2023,189
DJ Chark,CAR,0,0,0,0,0,0,0,0,,13.0,2023,189
Adam Thielen,CAR,0,0,0,0,0,0,0,0,,13.0,2023,189
Stephen Sullivan,CAR,0,0,0,0,0,0,0,0,,13.0,2023,189
Ian Thomas,CAR,0,0,0,0,0,0,0,0,,13.0,2023,189
Mike Strachan,CAR,0,0,0,0,0,0,0,0,,13.0,2023,189
Baker Mayfield,TAM,14,29,202,1,1,1,8,75,68.5,13.0,2023,189
Rachaad White,TAM,0,0,0,0,0,0,0,0,,13.0,2023,189
Chris Godwin,TAM,0,0,0,0,0,0,0,0,,13.0,2023,189
Trey Palmer,TAM,0,0,0,0,0,0,0,0,,13.0,2023,189
Deven Thompkins,TAM,0,0,0,0,0,0,0,0,,13.0,2023,189
Chase Edmonds,TAM,0,0,0,0,0,0,0,0,,13.0,2023,189
Mike Evans,TAM,0,0,0,0,0,0,0,0,,13.0,2023,189
