Player,Pos,home_team,team,week,year,game_id
Gardner Minshew II,QB,0,Colts,13.0,2023,183
Zack Moss,RB,0,Colts,13.0,2023,183
Michael Pittman Jr.,WR,0,Colts,13.0,2023,183
Isaiah McKenzie,WR,0,Colts,13.0,2023,183
Alec Pierce,WR,0,Colts,13.0,2023,183
Kylen Granson,TE,0,Colts,13.0,2023,183
Will Fries,OL,0,Colts,13.0,2023,183
Braden Smith,T,0,Colts,13.0,2023,183
Bernhard Raimann,T,0,Colts,13.0,2023,183
Quenton Nelson,G,0,Colts,13.0,2023,183
Ryan Kelly,C,0,Colts,13.0,2023,183
Samson Ebukam,DE,0,Colts,13.0,2023,183
Kwity Paye,DE,0,Colts,13.0,2023,183
Taven Bryan,DT,0,Colts,13.0,2023,183
DeForest Buckner,DT,0,Colts,13.0,2023,183
E.J. Speed,LB,0,Colts,13.0,2023,183
Zaire Franklin,LB,0,Colts,13.0,2023,183
Kenny Moore,CB,0,Colts,13.0,2023,183
Jaylon Jones,CB,0,Colts,13.0,2023,183
Darrell Baker,CB,0,Colts,13.0,2023,183
Rodney Thomas II,S,0,Colts,13.0,2023,183
Julian Blackmon,S,0,Colts,13.0,2023,183
