Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Baker Mayfield,TAM,0,0,0,0,0,14.0,2023,195
Rachaad White,TAM,2,2,33,1,31,14.0,2023,195
Chase Edmonds,TAM,2,2,18,0,10,14.0,2023,195
Trey Palmer,TAM,1,1,5,0,5,14.0,2023,195
Chris Godwin,TAM,11,5,53,0,32,14.0,2023,195
Cade Otton,TAM,5,2,16,1,11,14.0,2023,195
David Moore,TAM,1,1,11,0,11,14.0,2023,195
Mike Evans,TAM,6,1,8,0,8,14.0,2023,195
Ko Kieft,TAM,1,0,0,0,0,14.0,2023,195
Desmond Ridder,ATL,0,0,0,0,0,14.0,2023,195
Tyler Allgeier,ATL,0,0,0,0,0,14.0,2023,195
Bijan Robinson,ATL,7,5,54,0,33,14.0,2023,195
Cordarrelle Patterson,ATL,0,0,0,0,0,14.0,2023,195
Drake London,ATL,11,10,172,0,45,14.0,2023,195
Kyle Pitts,ATL,6,3,57,1,36,14.0,2023,195
Jonnu Smith,ATL,7,4,27,0,9,14.0,2023,195
KhaDarel Hodge,ATL,2,1,18,0,18,14.0,2023,195
MyCole Pruitt,ATL,2,2,15,0,11,14.0,2023,195
Mack Hollins,ATL,1,1,4,0,4,14.0,2023,195
Scott Miller,ATL,3,0,0,0,0,14.0,2023,195
