Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Josh Allen,BUF,10,32,1,8,14.0,2023,204
James Cook,BUF,10,58,0,15,14.0,2023,204
Ty Johnson,BUF,5,19,0,7,14.0,2023,204
Latavius Murray,BUF,3,9,0,4,14.0,2023,204
Dawson Knox,BUF,0,0,0,0,14.0,2023,204
Deonte Harty,BUF,0,0,0,0,14.0,2023,204
Stefon Diggs,BUF,0,0,0,0,14.0,2023,204
Dalton Kincaid,BUF,0,0,0,0,14.0,2023,204
Khalil Shakir,BUF,0,0,0,0,14.0,2023,204
Trent Sherfield,BUF,0,0,0,0,14.0,2023,204
Gabriel Davis,BUF,0,0,0,0,14.0,2023,204
Patrick Mahomes,KAN,1,8,0,8,14.0,2023,204
Clyde Edwards-Helaire,KAN,11,39,0,7,14.0,2023,204
Jerick McKinnon,KAN,4,19,1,7,14.0,2023,204
Kadarius Toney,KAN,2,16,0,14,14.0,2023,204
Travis Kelce,KAN,0,0,0,0,14.0,2023,204
Rashee Rice,KAN,0,0,0,0,14.0,2023,204
Marquez Valdes-Scantling,KAN,0,0,0,0,14.0,2023,204
Justin Watson,KAN,0,0,0,0,14.0,2023,204
Richie James,KAN,0,0,0,0,14.0,2023,204
Skyy Moore,KAN,0,0,0,0,14.0,2023,204
