Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Will Levis,TEN,0,0,0,0,0,14.0,2023,208
Derrick Henry,TEN,2,1,17,0,17,14.0,2023,208
Tyjae Spears,TEN,8,6,89,0,30,14.0,2023,208
Treylon Burks,TEN,3,1,1,0,1,14.0,2023,208
DeAndre Hopkins,TEN,12,7,124,1,45,14.0,2023,208
Chigoziem Okonkwo,TEN,6,5,46,0,16,14.0,2023,208
Nick Westbrook-Ikhine,TEN,4,2,28,0,23,14.0,2023,208
Chris Moore,TEN,1,1,22,0,22,14.0,2023,208
Tua Tagovailoa,MIA,0,0,0,0,0,14.0,2023,208
Raheem Mostert,MIA,1,1,4,0,4,14.0,2023,208
De'Von Achane,MIA,9,5,24,0,11,14.0,2023,208
Jaylen Waddle,MIA,8,6,79,0,16,14.0,2023,208
Tyreek Hill,MIA,5,4,61,0,25,14.0,2023,208
Cedrick Wilson Jr.,MIA,4,2,30,0,22,14.0,2023,208
Durham Smythe,MIA,3,2,16,0,9,14.0,2023,208
Alec Ingold,MIA,1,1,13,0,13,14.0,2023,208
Braxton Berrios,MIA,2,2,13,0,7,14.0,2023,208
