Quarter,Time,Tm,Detail,TAM,ATL,week,year,game_id
1.0,9:27,Buccaneers,Chase McLaughlin 55 yard field goal,3,0,14.0,2023,195
,1:23,Falcons,Younghoe Koo 20 yard field goal,3,3,14.0,2023,195
2.0,14:57,Buccaneers,Baker Mayfield 1 yard rush (Chase McLaughlin kick),10,3,14.0,2023,195
,12:09,Falcons,Kyle Pitts 36 yard pass from Desmond Ridder (Younghoe Koo kick),10,10,14.0,2023,195
,2:36,Buccaneers,"Safety, Desmond Ridder sacked in end zone by Antoine Winfield Jr. by Pat O'Connor",12,10,14.0,2023,195
3.0,4:06,Buccaneers,Rachaad White 31 yard pass from Baker Mayfield (Chase McLaughlin kick),19,10,14.0,2023,195
4.0,11:10,Falcons,Bijan Robinson 3 yard rush (Younghoe Koo kick),19,17,14.0,2023,195
,6:10,Buccaneers,Chase McLaughlin 38 yard field goal,22,17,14.0,2023,195
,3:23,Falcons,Desmond Ridder 6 yard rush (Drake London pass from Desmond Ridder),22,25,14.0,2023,195
,0:31,Buccaneers,Cade Otton 11 yard pass from Baker Mayfield (Chase McLaughlin kick),29,25,14.0,2023,195
