Player,Pos,home_team,team,week,year,game_id
Matthew Stafford,QB,0,Rams,14.0,2023,201
Kyren Williams,RB,0,Rams,14.0,2023,201
Tutu Atwell,WR,0,Rams,14.0,2023,201
Cooper Kupp,WR,0,Rams,14.0,2023,201
Puka Nacua,WR,0,Rams,14.0,2023,201
Hunter Long,TE,0,Rams,14.0,2023,201
Kevin Dotson,OL,0,Rams,14.0,2023,201
Rob Havenstein,T,0,Rams,14.0,2023,201
Alaric Jackson,T,0,Rams,14.0,2023,201
Steve Avila,G,0,Rams,14.0,2023,201
Coleman Shelton,G,0,Rams,14.0,2023,201
Jonah Williams,DE,0,Rams,14.0,2023,201
Aaron Donald,DT,0,Rams,14.0,2023,201
Bobby Brown,NT,0,Rams,14.0,2023,201
Byron Young,OLB,0,Rams,14.0,2023,201
Michael Hoecht,OLB,0,Rams,14.0,2023,201
Troy Reeder,LB,0,Rams,14.0,2023,201
Ernest Jones,LB,0,Rams,14.0,2023,201
Derion Kendrick,DB,0,Rams,14.0,2023,201
John Johnson,DB,0,Rams,14.0,2023,201
Ahkello Witherspoon,DB,0,Rams,14.0,2023,201
Jordan Fuller,DB,0,Rams,14.0,2023,201
