Player,Pos,home_team,team,week,year,game_id
Aidan O'Connell,QB,1,Raiders,14.0,2023,202
Josh Jacobs,RB,1,Raiders,14.0,2023,202
Davante Adams,WR,1,Raiders,14.0,2023,202
Jakobi Meyers,WR,1,Raiders,14.0,2023,202
Austin Hooper,TE,1,Raiders,14.0,2023,202
Michael Mayer,TE,1,Raiders,14.0,2023,202
Jermaine Eluemunor,OL,1,Raiders,14.0,2023,202
Thayer Munford,T,1,Raiders,14.0,2023,202
Greg Van Roten,G,1,Raiders,14.0,2023,202
Dylan Parham,G,1,Raiders,14.0,2023,202
Andre James,C,1,Raiders,14.0,2023,202
Janarius Robinson,DE,1,Raiders,14.0,2023,202
Maxx Crosby,DE,1,Raiders,14.0,2023,202
John Jenkins,DT,1,Raiders,14.0,2023,202
Bilal Nichols,DT,1,Raiders,14.0,2023,202
Jerry Tillery,DT,1,Raiders,14.0,2023,202
Divine Deablo,LB,1,Raiders,14.0,2023,202
Robert Spillane,LB,1,Raiders,14.0,2023,202
Nate Hobbs,CB,1,Raiders,14.0,2023,202
Amik Robertson,CB,1,Raiders,14.0,2023,202
Tre'von Moehrig,S,1,Raiders,14.0,2023,202
Marcus Epps,S,1,Raiders,14.0,2023,202
