Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Russell Wilson,DEN,0,0,0,0,0,14.0,2023,205
Javonte Williams,DEN,4,3,25,0,14,14.0,2023,205
Jaleel McLaughlin,DEN,2,1,7,0,7,14.0,2023,205
Samaje Perine,DEN,5,5,36,0,9,14.0,2023,205
Michael Burton,DEN,1,1,1,0,1,14.0,2023,205
Courtland Sutton,DEN,4,3,62,1,46,14.0,2023,205
Lucas Krull,DEN,1,1,35,0,35,14.0,2023,205
Adam Trautman,DEN,3,2,19,1,10,14.0,2023,205
Jerry Jeudy,DEN,6,2,16,0,9,14.0,2023,205
Lil'Jordan Humphrey,DEN,1,1,12,0,12,14.0,2023,205
Marvin Mims,DEN,3,2,11,0,8,14.0,2023,205
Easton Stick,LAC,0,0,0,0,0,14.0,2023,205
Justin Herbert,LAC,0,0,0,0,0,14.0,2023,205
Keenan Allen,LAC,12,6,68,0,22,14.0,2023,205
Austin Ekeler,LAC,7,5,49,0,18,14.0,2023,205
Isaiah Spiller,LAC,0,0,0,0,0,14.0,2023,205
Joshua Kelley,LAC,0,0,0,0,0,14.0,2023,205
Quentin Johnston,LAC,4,3,91,0,57,14.0,2023,205
Gerald Everett,LAC,8,5,39,0,12,14.0,2023,205
Donald Parham,LAC,2,1,11,0,11,14.0,2023,205
Alex Erickson,LAC,7,1,9,0,9,14.0,2023,205
Jalen Guyton,LAC,1,1,8,0,8,14.0,2023,205
