#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,GNB 24,5,2:49,19,Punt,0,Packers,14.0,2023,207
2,1,8:50,GNB 7,3,1:41,5,Punt,0,Packers,14.0,2023,207
3,1,4:52,GNB 38,7,3:51,62,Touchdown,0,Packers,14.0,2023,207
4,2,11:55,GNB 25,7,4:14,48,Fumble,0,Packers,14.0,2023,207
5,2,5:06,NYG 49,2,0:52,3,Interception,0,Packers,14.0,2023,207
6,2,2:45,GNB 17,10,2:32,65,Field Goal,0,Packers,14.0,2023,207
7,3,11:22,GNB 25,4,2:17,13,Punt,0,Packers,14.0,2023,207
8,3,9:05,NYG 14,4,1:34,0,Field Goal,0,Packers,14.0,2023,207
9,3,1:28,GNB 25,12,5:46,48,Missed FG,0,Packers,14.0,2023,207
10,4,8:59,GNB 16,7,3:29,54,Field Goal,0,Packers,14.0,2023,207
11,4,3:34,NYG 36,9,2:01,36,Touchdown,0,Packers,14.0,2023,207
