Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,week,year,game_id
Riq Woolen,SEA,0,4,3,75.0%,26.0,8.7,6.5,0.0,91.7,5.5,10.0,16.0,0,0,0,0.0,0,5,3,37.5%,14.0,2023,203
Bobby Wagner,SEA,0,3,3,100.0%,42.0,14.0,14.0,0.0,118.7,4.0,12.0,30.0,2,0,0,0.0,0,5,2,28.6%,14.0,2023,203
Julian Love,SEA,1,5,3,60.0%,99.0,33.0,19.8,1.0,104.2,18.2,63.0,36.0,0,0,0,0.0,0,7,1,12.5%,14.0,2023,203
Michael Jackson,SEA,0,5,2,40.0%,55.0,27.5,11.0,0.0,81.2,10.0,17.0,38.0,0,0,0,0.0,0,2,1,33.3%,14.0,2023,203
Quandre Diggs,SEA,0,2,2,100.0%,40.0,20.0,20.0,0.0,118.7,11.5,23.0,17.0,0,0,0,0.0,0,6,1,14.3%,14.0,2023,203
Dre'Mont Jones,SEA,0,1,1,100.0%,3.0,3.0,3.0,0.0,79.2,-1.0,-1.0,4.0,0,0,0,1.0,1,4,0,0.0%,14.0,2023,203
Jamal Adams,SEA,0,1,1,100.0%,54.0,54.0,54.0,1.0,158.3,39.0,39.0,15.0,5,0,1,0.0,1,4,2,33.3%,14.0,2023,203
Jordyn Brooks,SEA,0,1,1,100.0%,5.0,5.0,5.0,0.0,87.5,5.0,5.0,0.0,0,0,0,0.0,0,6,0,0.0%,14.0,2023,203
Derick Hall,SEA,0,1,1,100.0%,11.0,11.0,11.0,0.0,112.5,6.0,6.0,5.0,0,0,0,0.0,0,0,0,,14.0,2023,203
Artie Burns,SEA,0,1,1,100.0%,8.0,8.0,8.0,0.0,100.0,3.0,3.0,5.0,0,0,0,0.0,0,1,0,0.0%,14.0,2023,203
Boye Mafe,SEA,0,1,1,100.0%,25.0,25.0,25.0,0.0,118.7,-4.0,-4.0,29.0,0,0,0,0.0,0,3,0,0.0%,14.0,2023,203
Leonard Williams,SEA,0,0,0,,,,,,,,,,0,0,3,1.0,4,4,0,0.0%,14.0,2023,203
Jarran Reed,SEA,0,0,0,,,,,,,,,,0,0,0,1.0,1,4,0,0.0%,14.0,2023,203
Devon Witherspoon,SEA,0,1,0,0.0%,,,0.0,,39.6,9.0,,,0,0,0,0.0,0,0,0,,14.0,2023,203
Darrell Taylor,SEA,0,1,0,0.0%,,,0.0,,39.6,-3.0,,,0,0,0,0.0,0,1,0,0.0%,14.0,2023,203
Coby Bryant,SEA,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%,14.0,2023,203
Ambry Thomas,SFO,0,6,5,83.3%,75.0,15.0,12.5,1.0,158.3,15.0,58.0,17.0,0,0,0,0.0,0,4,1,20.0%,14.0,2023,203
Fred Warner,SFO,1,5,4,80.0%,61.0,15.3,12.2,1.0,117.5,3.6,23.0,38.0,0,0,0,0.0,0,8,2,20.0%,14.0,2023,203
Isaiah Oliver,SFO,0,3,3,100.0%,12.0,4.0,4.0,0.0,83.3,-1.0,-3.0,15.0,2,0,0,0.0,0,7,1,12.5%,14.0,2023,203
Dre Greenlaw,SFO,0,5,3,60.0%,33.0,11.0,6.6,0.0,79.6,-0.6,-2.0,35.0,2,0,0,0.0,0,4,2,33.3%,14.0,2023,203
Randy Gregory,SFO,0,2,2,100.0%,27.0,13.5,13.5,0.0,118.7,2.0,4.0,23.0,0,1,0,1.0,2,1,1,50.0%,14.0,2023,203
Tashaun Gipson,SFO,0,2,2,100.0%,30.0,15.0,15.0,0.0,118.7,8.0,16.0,14.0,0,0,0,0.0,0,4,1,20.0%,14.0,2023,203
Ji'Ayir Brown,SFO,1,2,1,50.0%,3.0,3.0,1.5,0.0,16.7,20.0,3.0,0.0,2,1,0,0.0,1,6,1,14.3%,14.0,2023,203
Deommodore Lenoir,SFO,0,4,1,25.0%,7.0,7.0,1.8,0.0,39.6,3.8,-3.0,10.0,1,0,0,0.0,0,3,0,0.0%,14.0,2023,203
Charvarius Ward,SFO,0,2,1,50.0%,21.0,21.0,10.5,0.0,87.5,29.0,6.0,15.0,0,0,0,0.0,0,1,1,50.0%,14.0,2023,203
Nick Bosa,SFO,0,0,0,,,,,,,,,,0,0,0,1.5,2,6,0,0.0%,14.0,2023,203
Javon Kinlaw,SFO,0,0,0,,,,,,,,,,0,0,0,0.5,1,3,0,0.0%,14.0,2023,203
Clelin Ferrell,SFO,0,0,0,,,,,,,,,,0,0,0,1.0,1,4,0,0.0%,14.0,2023,203
Kevin Givens,SFO,0,0,0,,,,,,,,,,0,0,0,0.0,0,2,2,50.0%,14.0,2023,203
Demetrius Flannigan-Fowles,SFO,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%,14.0,2023,203
